Species	Strain	Source_ID	Temp
Staphylococcus aureus	Petre	NCTC 7414	37
Staphylococcus aureus	Hughes	NCTC 7415	37
Mycobacterium tuberculosis	H 37 Rv	NCTC 7416	37
Mycobacterium tuberculosis	H 37 Ra	NCTC 7417	37
Acinetobacter baumannii	Ayers	NCTC 7422	37
Clostridium butyricum	Rowett	NCTC 7423	37
Salmonella enterica subsp. enterica serotype isangi	Edwards 288	NCTC 7426	37
Klebsiella pneumoniae	PCI 602	NCTC 7427	37
Staphylococcus aureus	S 32a	NCTC 7428	37
Salmonella enterica subsp. enterica serotype takoradi	7430 JT 238 6, 8:i:1, 5	NCTC 7430	37
Burkholderia pseudomallei	Guys	NCTC 7431	37
Haemophilus parasuis	Goldsmith	NCTC 7440	37
Haemophilus parasuis	VRO 8	NCTC 7441	37
Staphylococcus aureus	3916	NCTC 7445	37
Staphylococcus aureus	4016	NCTC 7446	37
Staphylococcus aureus	FDA 209-P	NCTC 7447	37
Corynebacterium renale	Charita a	NCTC 7448	37
Corynebacterium xerosis	W Daisy	NCTC 7449	37
Arcanobacterium pyogenes	B 11	NCTC 7450	37
Pseudomonas sp.	OP 598	NCTC 7452	37
Pseudomonas mendocina	6121	NCTC 7453	37
Pseudomonas mendocina	7808	NCTC 7454	37
Pseudomonas mendocina	8025	NCTC 7455	37
Pasteurella multocida	Exeter 6526	NCTC 7460	37
Acinetobacter baumannii	Crook	NCTC 7461	37
Acinetobacter baumannii	Hourigan	NCTC 7462	37
Bacillus cereus	NRRL 569	NCTC 7464	37
Streptococcus pneumoniae	SV 1	NCTC 7465	37
Bacillus sonorensis	USDA 712	NCTC 7467	37
Brucella abortus	MAU 223	NCTC 7472	37
Staphylococcus epidermidis	Smith	NCTC 7474	37
Providencia rettgeri	KB 5	NCTC 7475	37
Providencia rettgeri	KB 119	NCTC 7476	37
Providencia rettgeri	KB 357	NCTC 7477	37
Providencia rettgeri	KB 683	NCTC 7478	37
Providencia rettgeri	JB 1893	NCTC 7479	37
Providencia rettgeri	KB 712	NCTC 7480	37
Providencia rettgeri	KB 772	NCTC 7481	37
Staphylococcus aureus	Streatley 1	NCTC 7485	37
Staphylococcus sp.	Streatley 2	NCTC 7486	37
Micrococcus luteus	M4	NCTC 7495	37
Micrococcus luteus	44906	NCTC 7503	37
Staphylococcus aureus	Woollie	NCTC 7507	37
Micrococcus luteus	ATCC 966	NCTC 7508	22
Kocuria rosea	28 (3)	NCTC 7509	22
Kocuria rosea	ATCC 144	NCTC 7511	37
Kocuria rosea	ATCC 177	NCTC 7512	37
Kocuria rosea	ATCC 178	NCTC 7513	37
Kocuria rosea	ATCC 179	NCTC 7514	37
Kocuria rosea	ATCC 418	NCTC 7520	30
Kocuria rosea	ATCC 1186	NCTC 7523	37
Staphylococcus saprophyticus subsp. saprophyticus	B 528	NCTC 7526	37
Kocuria rosea	349	NCTC 7528	37
Staphylococcus saprophyticus subsp. saprophyticus	BCH-c	NCTC 7540	37
Cellulomonas fimi	ATCC 484	NCTC 7547	37
Corynebacterium pseudodiphtheriticum	3-49	NCTC 7549	37
Micrococcus luteus	G 76 Group II B	NCTC 7562	37
Micrococcus luteus	G 36	NCTC 7563	37
Kocuria varians	G 40	NCTC 7565	37
Kocuria varians	G 92	NCTC 7566	37
Brachybacterium nesterenkovii	G 9	NCTC 7567	37
Paenibacillus polymyxa	G 43	NCTC 7575	37
Bacillus pumilus	G 33	NCTC 7576	37
Brevibacillus brevis	G 108	NCTC 7577	37
Paenibacillus chibensis	G 48	NCTC 7578	37
Brevibacillus laterosporus	G 308	NCTC 7579	37
Bacillus megaterium	Gibson	NCTC 7581	37
Bacillus sphaericus	Gibson	NCTC 7582	37
Paenibacillus alvei	G 642 T. Gibson, Edinburgh in 1948	NCTC 7583	37
Bacillus sphaericus	G 1019	NCTC 7585	37
Bacillus mycoides	G 15	NCTC 7586	37
Bacillus cereus	G 12	NCTC 7587	37
Paenibacillus macerans	G 411	NCTC 7588	37
Bacillus licheniformis	G 413	NCTC 7589	37
Aerococcus viridans	H 2	NCTC 7592	37
Aerococcus viridans	H 4	NCTC 7594	37
Aerococcus viridans	H 5	NCTC 7595	37
Aerococcus viridans	H 6	NCTC 7596	37
Aerococcus viridans	H 7	NCTC 7597	37
Aerococcus viridans	H 8	NCTC 7598	37
Aerococcus viridans	H 9	NCTC 7599	37
Aerococcus viridans	H 10	NCTC 7600	37
Aerococcus viridans	H 11	NCTC 7601	37
Aerococcus viridans	H 12	NCTC 7602	37
Staphylococcus warneri	Parker IC-31	NCTC 7612	37
Micrococcus sp.	Parker IC-17	NCTC 7617	30
Kocuria varians	Parker IC-22	NCTC 7619	37
Staphylococcus saprophyticus subsp. saprophyticus	Parker IC-26	NCTC 7623	37
Staphylococcus saprophyticus subsp. saprophyticus	Parker IC-84	NCTC 7666	37
Staphylococcus saprophyticus subsp. saprophyticus	Parker IC-121	NCTC 7687	37
Staphylococcus saprophyticus subsp. saprophyticus	Parker IC-122	NCTC 7688	37
Staphylococcus saprophyticus subsp. saprophyticus	Parker IC-131	NCTC 7692	37
Staphylococcus aureus	C 2	NCTC 7718	37
Staphylococcus aureus	9 N Ra	NCTC 7727	37
Kocuria varians	37	NCTC 7729	37
Kocuria rosea	ATCC 9815	NCTC 7738	30
Micrococcus luteus	ATCC 10240	NCTC 7743	37
Salmonella enterica subsp. enterica serotype birkenhead	7744 Col Sal 766/47 (JT 222) 6, 7:c:1, 6	NCTC 7744	37
Bacillus anthracis	282	NCTC 7752	37
Bacillus anthracis	1501	NCTC 7753	37
Streptococcus sp.	SHC 194	NCTC 7760	37
Klebsiella edwardsii var. edwardsii	Klebsiella III	NCTC 7761	37
Aerococcus viridans	MD 3	NCTC 7764	37
Aerococcus viridans	MD 4	NCTC 7765	37
Aerococcus viridans	MD 5	NCTC 7766	37
Pseudomonas aeruginosa	Castellani strain 1	NCTC 7771	37
Aerococcus viridans	MD 15	NCTC 7777	37
Moraxella nonliquefaciens	37689	NCTC 7784	37
Staphylococcus aureus	Selbie 18	NCTC 7791	37
Klebsiella pneumoniae subsp. rhinoscleromatis	BSI 36208	NCTC 7799	37
Staphylococcus saprophyticus subsp. saprophyticus	BCH 13 (2555)	NCTC 7802	37
Streptomyces griseus	Maxted	NCTC 7807	30
Aeromonas veronii	Kulp P2	NCTC 7810	37
Aeromonas hydrophila	Speck	NCTC 7812	37
Proteus mirabilis	H X K	NCTC 7827	37
Salmonella enterica subsp. enterica serotype corvallis	7830 JT 235 8, 20:z4, z23:-	NCTC 7830	37
Salmonella enterica subsp. enterica serotype butantan	7831 (JT 237)	NCTC 7831	37
Salmonella enterica subsp. enterica serotype nottingham	7832 Col Sal 1043/48 (JT 234) 16:d:e, n, z15	NCTC 7832	37
Salmonella enterica subsp. enterica serotype salford	JT 232 (Col Sal 737/48)	NCTC 7833	37
Salmonella enterica subsp. enterica serotype colorado	7834 JT 236 6, 7:l, w:1, 5	NCTC 7834	37
Salmonella enterica subsp. enterica serotype menston	JT226	NCTC 7836	37
Corynebacterium diphtheriae	DX 18	NCTC 7838	37
Corynebacterium diphtheriae	DX 19	NCTC 7839	37
Corynebacterium diphtheriae	DX 22	NCTC 7840	37
Corynebacterium diphtheriae	DX 24	NCTC 7841	37
Corynebacterium diphtheriae	MID-Durham	NCTC 7842	37
Corynebacterium diphtheriae	19470	NCTC 7843	37
Acinetobacter baumannii	Biol 1	NCTC 7844	37
Streptococcus dysgalactiae	H 64	NCTC 7855	37
Staphylococcus aureus	CN 491	NCTC 7856	37
Haemophilus parainfluenzae	Wound	NCTC 7857	37
Bacillus subtilis	BAL	NCTC 7861	37
Streptococcus sanguinis	7863	NCTC 7863	37
Streptococcus sanguinis	ATCC 10557	NCTC 7864	37
Streptococcus gordonii	ATCC 10558	NCTC 7865	37
Streptococcus gordonii	Challis	NCTC 7868	37
Streptococcus gordonii	Channon	NCTC 7869	37
Streptococcus gordonii	E 91/46	NCTC 7870	37
Streptococcus gordonii	3437/48	NCTC 7872	37
Staphylococcus aureus	Feline	NCTC 7878	37
Corynebacterium xerosis	Lewisham	NCTC 7883	37
Shigella flexneri	2531	NCTC 7885	37
Salmonella enterica subsp. enterica serotype mississippi	7886 4171 13, 23:b:-	NCTC 7886	37
Staphylococcus agnetis	Au 18 L	NCTC 7887	37
Salmonella enterica subsp. enterica serotype aequatoria	7891 JT 246 6, 7:z4, z23:e, n, z15	NCTC 7891	37
Salmonella enterica subsp. enterica serotype mbandaka	JT 240	NCTC 7892	37
Salmonella enterica subsp. enterica serotype tallahassee	JT 249	NCTC 7893	37
Salmonella enterica subsp. enterica serotype kibusi	7895 JT 245 28:r:e, n, x	NCTC 7895	37
Salmonella enterica subsp. enterica serotype makiso	JT 241	NCTC 7896	37
Salmonella enterica subsp. enterica serotype allandale	7898 JT 244 (CN 4087) 1, 40:k:1, 6	NCTC 7898	37
Salmonella enterica subsp. enterica serotype canoga	7899 JT 248 (CN 4087) 3, 15, 34:g, s, t:-	NCTC 7899	37
Corynebacterium ulcerans	EXE	NCTC 7907	37
Corynebacterium ulcerans	6874	NCTC 7908	37
Corynebacterium ulcerans	10034	NCTC 7909	37
Corynebacterium ulcerans	20184	NCTC 7910	37
Moraxella lacunata	ATCC 17952	NCTC 7911	37
Streptococcus equi subsp. zooepidemicus	2104	NCTC 7912	37
Staphylococcus aureus	6103	NCTC 7913	37
Pseudomonas putida	7914 SX/30	NCTC 7914	30
Dermatophilus congolensis	SFR	NCTC 7915	30
Janthinobacterium lividum	FBA No 2	NCTC 7917	22
Haemophilus influenzae	Rosher 7284 (Bailey) Biotype II	NCTC 7918	37
Escherichia coli	2214	NCTC 7921	37
Escherichia coli	2213	NCTC 7922	37
Escherichia coli	2215	NCTC 7923	37
Shigella sonnei	2212	NCTC 7924	37
Escherichia coli	120	NCTC 7925	37
Escherichia coli	589	NCTC 7926	37
Escherichia coli	2378	NCTC 7927	37
Escherichia coli	3479	NCTC 7928	37
Corynebacterium xerosis	490505	NCTC 7929	37
Streptococcus sp.	143	NCTC 7932	37
Staphylococcus hyicus subsp. hyicus	Aerosols strain	NCTC 7944	37
Staphylococcus aureus	Goat	NCTC 7972	37
Listeria monocytogenes	58 xxiii	NCTC 7973	37
Listeria monocytogenes	B. Ch-G	NCTC 7974	37
Acinetobacter lwoffii	Wheatley	NCTC 7976	37
Streptococcus dysgalactiae	45	NCTC 7982	37
Moraxella lacunata	260	NCTC 7985	37
Moraxella lacunata	4238	NCTC 7986	37
Staphylococcus aureus	Cat	NCTC 7988	37
Staphylococcus lugdunensis	Kelly	NCTC 7990	37
Erysipelothrix rhusiopathiae	Rouget	NCTC 7999	37
Salmonella enterica subsp. enterica serotype typhi	Kasauli TH	NCTC 8001	37
Salmonella enterica subsp. enterica serotype paratyphi a	Kasauli AH	NCTC 8002	37
Escherichia coli	R 411	NCTC 8003	37
Staphylococcus aureus	E 755	NCTC 8004	37
Escherichia dispar	R 825	NCTC 8006	37
Escherichia coli	D 433	NCTC 8007	37
Escherichia coli	D 2101	NCTC 8008	37
Escherichia coli	D 898	NCTC 8009	37
Salmonella enterica subsp. enterica serotype paratyphi a	E 37	NCTC 8010	37
Serratia plymuthica	Parker	NCTC 8015	37
Burkholderia pseudomallei	AHS 1	NCTC 8016	37
Streptococcus agalactiae	MK 104 P	NCTC 8017	37
Streptococcus agalactiae	MK 104 C	NCTC 8020	37
Vibrio cholerae	3	NCTC 8021	37
Streptococcus oralis	1360/48	NCTC 8029	37
Streptococcus mitis	3415/48	NCTC 8031	37
Streptococcus mitis	3957(2)/48	NCTC 8033	37
Bacillus cereus	Lederle No 5	NCTC 8035	37
Brucella abortus	S 19	NCTC 8038	37
Vibrio cholerae	Cairo IaI	NCTC 8039	37
Vibrio cholerae	726/575	NCTC 8040	37
Vibrio cholerae	757	NCTC 8041	37
Vibrio cholerae non 0:1	Nanking 32/124	NCTC 8042	37
Actinomyces israelii	Bishop	NCTC 8047	37
Aeromonas hydrophila	BPE 143	NCTC 8049	37
Vibrio cholerae	Calcutta	NCTC 8050	37
Salmonella enterica subsp. enterica serotype paratyphi c	9 H	NCTC 8053	37
Salmonella enterica subsp. enterica serotype paratyphi c	Hayes O	NCTC 8054	37
Providencia alcalifaciens	EEB	NCTC 8055	37
Providencia alcalifaciens	16112	NCTC 8056	37
Providencia alcalifaciens	2634	NCTC 8057	37
Pseudomonas aeruginosa	U 21 (6)	NCTC 8058	37
Pseudomonas aeruginosa	U 21 (1)	NCTC 8060	37
Clostridium tetani	Toms	NCTC 8065	37
Pediococcus pentosaceus	F 166	NCTC 8066	30
Pseudomonas taetrolens	ATCC 4683	NCTC 8067	30
Pseudomonas mucidolens	Burns 37	NCTC 8068	30
Clostridium chauvoei	G 1	NCTC 8070	37
Pasteurella multocida	H	NCTC 8080	37
Acinetobacter sp.	A 267	NCTC 8102	37
Hafnia alvei	32011	NCTC 8105	37
Hafnia alvei	32611	NCTC 8106	37
Hafnia alvei	26311	NCTC 8107	37
Hafnia alvei	70811	NCTC 8108	37
Hafnia alvei	56211	NCTC 8109	37
Hafnia alvei	44311	NCTC 8110	37
Hafnia alvei	63511	NCTC 8111	37
Hafnia alvei	68411	NCTC 8112	37
Providencia rustigianii	1721	NCTC 8113	37
Enterococcus durans	Hirsch 613	NCTC 8129	37
Enterococcus durans	Roquefort Cheese I. 1	NCTC 8130	37
Enterococcus faecalis	MES D 55	NCTC 8131	37
Enterococcus faecalis	8 GB 37	NCTC 8132	37
Streptococcus gallolyticus subsp. gallolyticus	BR 7	NCTC 8133	37
Haemophilus aegyptius	128 a	NCTC 8134	37
Haemophilus influenzae biotype aegyptius	181 a	NCTC 8135	37
Escherichia coli	Elford C 36	NCTC 8136	37
Streptococcus bovis	Rosalie 20	NCTC 8140	37
Pasteurella pneumotropica	M 8. 19. 48	NCTC 8141	37
Haemophilus influenzae	680 Biotype II	NCTC 8143	37
Salmonella enterica subsp. enterica serotype jerusalem	K 280	NCTC 8146	37
Salmonella enterica subsp. enterica serotype tinda	8147 K 267 1, 4, 12, 27:a:e, n, z15	NCTC 8147	37
Salmonella enterica subsp. enterica serotype sanga	8148 K 283 (8):b:1, 7	NCTC 8148	37
Salmonella enterica subsp. enterica serotype leopoldville	8149 K 274 6, 7:b:z6	NCTC 8149	37
Mycobacterium smegmatis	8150	NCTC 8150	37
Mycobacterium phlei	Timoteo	NCTC 8151	37
Mycobacterium smegmatis	GW	NCTC 8152	37
Mycobacterium smegmatis	R	NCTC 8153	30
Cronobacter sakazakii	F 37/50	NCTC 8155	37
Mycobacterium phlei	Cornell 8a	NCTC 8156	37
Mycobacterium phlei	REG 24	NCTC 8157	30
Mycobacterium smegmatis	ATCC 278	NCTC 8158	30
Mycobacterium smegmatis	Cornell 3	NCTC 8159	30
Erysipelothrix rhusiopathiae	a P15	NCTC 8163	37
Escherichia coli	C 6	NCTC 8164	34
Citrobacter freundii	C 18	NCTC 8165	37
Klebsiella oxytoca	C 30	NCTC 8167	37
Enterobacter cloacae	C 35	NCTC 8168	37
Klebsiella pneumoniae subsp. pneumoniae	C 37	NCTC 8172	37
Enterococcus faecium	Cheddar cheese F. II	NCTC 8174	37
Enterococcus faecalis	Elv 2025	NCTC 8175	37
Enterococcus faecalis	2	NCTC 8176	37
Streptococcus bovis	Pearl 11 (No 6)	NCTC 8177	37
Staphylococcus aureus	Newman	NCTC 8178	37
Escherichia coli	D 433y	NCTC 8179	37
Streptococcus agalactiae	S 102	NCTC 8180	37
Streptococcus agalactiae	G 19	NCTC 8181	37
Streptococcus agalactiae	G 2	NCTC 8182	37
Streptococcus agalactiae	S 84	NCTC 8183	37
Streptococcus agalactiae	S 122	NCTC 8184	37
Streptococcus agalactiae	S 107	NCTC 8185	37
Streptococcus agalactiae	G 104	NCTC 8186	37
Streptococcus agalactiae	H 36b	NCTC 8187	37
Streptococcus agalactiae	G 42	NCTC 8188	37
Bordetella pertussis	2048	NCTC 8189	37
Streptococcus agalactiae	N 49	NCTC 8190	37
Streptococcus pyogenes	Richards (Rich. G III)	NCTC 8191	37
Shigella flexneri	Kasauli	NCTC 8192	37
Streptococcus pyogenes	T5 B	NCTC 8193	37
Streptococcus pyogenes	J 17D/50 (R3)	NCTC 8194	37
Streptococcus pyogenes	Quinn (D24/46)	NCTC 8195	37
Escherichia coli	C 3	NCTC 8196	37
Streptococcus pyogenes	SF 130	NCTC 8198	37
Streptococcus pyogenes	Lowe	NCTC 8199	37
Brucella abortus	Edward	NCTC 8200	37
Pseudomonas aeruginosa	Selbie	NCTC 8203	37
Enterococcus faecalis	MES 91; WDCM 00084	NCTC 8213	37
Shigella dysenteriae	Norwich 1944	NCTC 8217	37
Shigella dysenteriae	D 214	NCTC 8218	37
Shigella sonnei	Wheeler Phase II	NCTC 8219	37
Shigella sonnei	Kasauli Phase I	NCTC 8220	37
Shigella sonnei	Wheeler Phase III	NCTC 8221	37
Streptococcus pyogenes	C 107/24	NCTC 8224	37
Streptococcus pyogenes	44273	NCTC 8225	37
Streptococcus pyogenes	C 119/58	NCTC 8227	37
Streptococcus pyogenes	C 242	NCTC 8228	37
Streptococcus pyogenes	C 95/12B	NCTC 8229	37
Streptococcus pyogenes	C 105	NCTC 8230	37
Streptococcus pyogenes	Henson/Rb 18	NCTC 8231	37
Streptococcus pyogenes	C 744/Rb4/41	NCTC 8232	37
Clostridium perfringens	2204/51	NCTC 8235	37
Bacillus subtilis	ICI 2/4	NCTC 8236	37
Clostridium perfringens	S 107	NCTC 8237	37
Bacillus pumilus	Mill Hill	NCTC 8241	37
Salmonella enterica subsp. enterica serotype zega	8243 Kauffmann 9, 12:d:z6	NCTC 8243	37
Salmonella enterica subsp. enterica serotype abaetetuba	8244 Brazil 1928 (CDC 4905-51) 11:k:1, 5	NCTC 8244	37
Salmonella enterica subsp. enterica serotype morehead	8245 Brazil 2228 (CDC 4937-51) 30:i:1, 5	NCTC 8245	37
Neisseria meningitidis	Maria Mason 8666	NCTC 8249	37
Bordetella parapertussis	517	NCTC 8250	37
Aerococcus viridans	M 1	NCTC 8251	37
Neisseria gonorrhoeae	B 4780	NCTC 8254	37
Neisseria meningitidis	Stafford	NCTC 8255	37
Salmonella enterica subsp. enterica serotype cambridge	8256 JT 147 (CN 4985) 3, 15:e, h:l, w	NCTC 8256	37
Salmonella enterica subsp. enterica serotype harrisonburg	CDC 1446-52	NCTC 8258	37
Salmonella enterica subsp. enterica serotype berkeley	8260 CDC 2240-52 (JT 297, CN 4088) 43:a:1, 5	NCTC 8260	37
Salmonella enterica subsp. enterica serotype alachua	8261 2212/52 (JT 298, CN 4086) 35:z4, z23:-	NCTC 8261	37
Salmonella enterica subsp. enterica serotype albuquerque	8262 3531/52 (JT 299) 6, 14, 24:d:z6	NCTC 8262	37
Neisseria flavescens	155	NCTC 8263	37
Clostridium botulinum	D 6f	NCTC 8265	37
Salmonella enterica subsp. enterica serotype schoeneberg	K 385	NCTC 8267	37
Salmonella enterica subsp. enterica serotype kimuenza	K 387	NCTC 8268	37
Salmonella enterica subsp. enterica serotype binza	8269 K 390 3, 15:y:1, 5	NCTC 8269	37
Salmonella enterica subsp. enterica serotype cairina	K 391	NCTC 8270	37
Salmonella enterica subsp. enterica serotype blukwa	K 392 (CN 4090, JT 315)	NCTC 8271	37
Salmonella enterica subsp. enterica serotype johannesburg	8272 K 393 40:b:e, n, x	NCTC 8272	37
Salmonella enterica subsp. salamae serotype worcester	K 395	NCTC 8273	37
Salmonella enterica subsp. enterica serotype cairo	K 397	NCTC 8274	37
Salmonella enterica subsp. enterica serotype ituri	8275 K 409 1, 4, 12:z10:1, 5	NCTC 8275	37
Salmonella enterica subsp. enterica serotype wangata	K 421	NCTC 8276	37
Salmonella enterica subsp. enterica serotype coquilhatville	K 425	NCTC 8277	37
Salmonella enterica subsp. enterica serotype kasenyi	K 431	NCTC 8278	37
Salmonella enterica subsp. enterica serotype niarembe	8279 K 433 (CN 4097) 44:a:l, w	NCTC 8279	37
Salmonella enterica subsp. salamae serotype nachshonim	K 440	NCTC 8280	37
Pasteurella multocida	36734	NCTC 8281	37
Pasteurella dagmatis	36735	NCTC 8282	37
Pasteurella multocida	46616	NCTC 8283	37
Pasteurella pneumotropica	54818	NCTC 8284	37
Salmonella enterica subsp. enterica serotype paratyphi a	256 (113/44)	NCTC 8285	37
Staphylococcus aureus	PS66 (W/166)	NCTC 8288	37
Staphylococcus aureus	PS65 (W/155)	NCTC 8292	37
Staphylococcus hyicus	8294RG Staphylococcus sp.8295RG (Receptif Gratia)	NCTC 8294	37
Shigella flexneri	DRL 36/52103 A	NCTC 8296	37
Salmonella enterica subsp. arizonae	DC 5	NCTC 8297	37
Salmonella enterica subsp. enterica serotype typhimurium	SW 580 (FM 59/64)	NCTC 8298	37
Salmonella enterica subsp. enterica serotype paratyphi b	Lederberg SW 906 (Hirsch 1415)	NCTC 8299	37
Streptococcus pyogenes	R47/3722/17	NCTC 8300	37
Streptococcus pyogenes	T 23/Rb5/26	NCTC 8301	37
Streptococcus pyogenes	S43/78	NCTC 8302	37
Streptococcus pyogenes	T 15/31	NCTC 8303	37
Streptococcus pyogenes	J 17E/19	NCTC 8304	37
Streptococcus pyogenes	C 98/97	NCTC 8305	37
Enterococcus durans	98D Sherman	NCTC 8307	37
Streptococcus pyogenes	Small	NCTC 8308	37
Proteus mirabilis	O X K	NCTC 8309	37
Streptococcus pyogenes	Coggins	NCTC 8310	37
Proteus vulgaris	O X 2	NCTC 8311	37
Streptococcus pyogenes	J 17F/51	NCTC 8312	37
Streptococcus pyogenes	Glover	NCTC 8314	37
Yersinia pseudotuberculosis	Watson I	NCTC 8315	37
Streptococcus pyogenes	Symons	NCTC 8316	37
Staphylococcus aureus	PS47A (761)	NCTC 8317	37
Streptococcus pyogenes	Blackmore	NCTC 8318	37
Staphylococcus aureus	PS3A (284)	NCTC 8319	37
Streptococcus pyogenes	J 17C	NCTC 8320	37
Staphylococcus aureus	PS3B (211)	NCTC 8321	37
Streptococcus pyogenes	T2/44/Rb4	NCTC 8322	37
Streptococcus pyogenes	SF 4	NCTC 8324	37
Staphylococcus aureus	PS47 (36)	NCTC 8325	37
Streptococcus pyogenes	4990	NCTC 8326	37
Staphylococcus aureus	PS54 (48/3303)	NCTC 8329	37
Streptococcus pyogenes	63 T	NCTC 8330	37
Staphylococcus aureus	PS29 (33)	NCTC 8331	37
Streptococcus pyogenes	E 14/88	NCTC 8332	37
Escherichia coli	Aberdeen	NCTC 8333	37
Neisseria meningitidis	Holmes	NCTC 8335	37
Shigella flexneri	Mulatta 103 Z	NCTC 8336	37
Mycobacterium microti	OV 185/10	NCTC 8337	37
Neisseria meningitidis	Jordan	NCTC 8339	37
Kocuria rhizophila	ATCC 9341	NCTC 8340	37
Staphylococcus aureus	PCI 1203	NCTC 8342	37
Bordetella bronchiseptica	NRRL B-140	NCTC 8344	37
Staphylococcus aureus	PS47B (987)	NCTC 8345	37
Clostridium perfringens	131 E?	NCTC 8346	37
Enterobacter cloacae	NCTC 5936	NCTC 8348	37
Staphylococcus aureus	PS51/62 (145)	NCTC 8349	37
Clostridium haemolyticum	CN 1038	NCTC 8350	37
Staphylococcus aureus	PS70 (H/42)	NCTC 8352	37
Staphylococcus aureus	PS42C (1307)	NCTC 8353	37
Staphylococcus aureus	PS75/76 (H/6415)	NCTC 8354	37
Staphylococcus aureus	PS42B/47C (1163)	NCTC 8355	37
Staphylococcus aureus	PS77 (H/84)	NCTC 8356	37
Staphylococcus aureus	PS42E (1670)	NCTC 8357	37
Staphylococcus aureus	PS55 (H/31508)	NCTC 8358	37
Staphylococcus aureus	PS73 (F56-A)	NCTC 8360	37
Clostridium chauvoei	A 10	NCTC 8361	37
Staphylococcus aureus	PS52A/79 (925)	NCTC 8363	37
Neisseria meningitidis	CN 105	NCTC 8365	37
Vibrio cholerae	4 Z	NCTC 8367	37
Staphylococcus aureus	PS44A (373)	NCTC 8369	37
Streptococcus pyogenes	R50/154	NCTC 8370	37
Staphylococcus aureus	PS29A (1351)	NCTC 8371	37
Staphylococcus aureus	PS31 A (48/2329)	NCTC 8373	30
Neisseria gonorrhoeae	B 5025	NCTC 8375	37
Streptococcus pyogenes	594	NCTC 8376	37
Shigella dysenteriae	Bucharest Rough	NCTC 8379	37
Clostridium fallax	Tracol	NCTC 8380	37
Salmonella enterica subsp. enterica serotype typhi	Bhatnagar (Vi I, 1940, CN 5595)	NCTC 8382	37
Salmonella enterica subsp. enterica serotype typhi	Ty 6 S	NCTC 8383	37
Salmonella enterica subsp. enterica serotype typhi	Watson	NCTC 8384	37
Salmonella enterica subsp. enterica serotype typhi	Ty 2	NCTC 8385	37
Salmonella enterica subsp. enterica serotype paratyphi a	HA 6	NCTC 8386	37
Salmonella enterica subsp. enterica serotype paratyphi a	HA 1	NCTC 8387	37
Salmonella enterica subsp. enterica serotype paratyphi a	2035	NCTC 8388	37
Salmonella enterica subsp. enterica serotype paratyphi a	17689	NCTC 8389	37
Salmonella enterica subsp. enterica serotype paratyphi b	HB 3	NCTC 8390	37
Salmonella enterica subsp. enterica serotype typhimurium	Glasgow O (Schutze, OB Felix)	NCTC 8391	37
Salmonella enterica subsp. enterica serotype typhimurium	3040 (Josephine Marmoset)	NCTC 8392	37
Salmonella enterica subsp. enterica serotype typhi	O 901 (ATCC 10749 and 14901)	NCTC 8393	37
Salmonella enterica subsp. enterica serotype typhi	H 901	NCTC 8394	37
Salmonella enterica subsp. enterica serotype typhi	Ty 2 Rough	NCTC 8395	37
Salmonella enterica subsp. enterica serotype typhi	Mrs S (R2. b. Mu)	NCTC 8396	37
Staphylococcus aureus	PS69 (H/16091)	NCTC 8397	37
Staphylococcus aureus	PS42F (E 193)	NCTC 8399	37
Salmonella sp.	Para A 228 (JT 281)	NCTC 8433	37
Salmonella sp.	Pc 230 (266) (JT 278)	NCTC 8434	37
Actinomyces israelii	Hyder	NCTC 8439	37
Salmonella enterica subsp. enterica serotype eschweiler	K 286	NCTC 8442	37
Vibrio metschnikovii	M 34	NCTC 8443	37
Salmonella enterica subsp. enterica serotype belem	CDC 4244-51 (JT 224)	NCTC 8444	37
Salmonella enterica subsp. enterica serotype denver	8445 Eolo 205 (CDC 3794-51, JT 999) 6, 7:a:e, n, z15	NCTC 8445	37
Salmonella enterica subsp. enterica serotype brazil	CDC 4251-51	NCTC 8446	37
Salmonella enterica subsp. enterica serotype austin	8447 CDC 4068-51 (JT 142) 6, 7:a:1, 7	NCTC 8447	37
Neisseria gonorrhoeae	Bradford 767	NCTC 8448	37
Escherichia coli	Cook	NCTC 8450	37
Arcanobacterium haemolyticum	Leibow 11018	NCTC 8452	37
Neisseria meningitidis	Whitehouse	NCTC 8454	37
Haemophilus influenzae	Stock Biotype IV	NCTC 8455	37
Vibrio cholerae biotype el tor	Do 1930	NCTC 8457	37
Salmonella enterica subsp. enterica serotype paratyphi b	Java H	NCTC 8458	37
Salmonella enterica subsp. enterica serotype vancouver	JT 261	NCTC 8460	37
Salmonella enterica subsp. enterica serotype oxford	JT 262	NCTC 8461	37
Salmonella enterica subsp. enterica serotype clerkenwell	8462 JT 263 3, 10:z:l, w	NCTC 8462	37
Haemophilus influenzae	620 Biotype I	NCTC 8466	37
Haemophilus influenzae	641 Biotype I	NCTC 8467	37
Haemophilus influenzae	576 Biotype IV	NCTC 8468	37
Haemophilus influenzae	624 Biotype II	NCTC 8469	37
Haemophilus influenzae	522 D99 Biotype IV	NCTC 8470	37
Haemophilus influenzae	595 Murray Biotype IV	NCTC 8472	37
Haemophilus influenzae	644 Biotype I	NCTC 8473	37
Bordetella pertussis	Kendrick 17921	NCTC 8474	37
Haemophilus parahaemolyticus	536	NCTC 8479	37
Yersinia pseudotuberculosis	Porton	NCTC 8480	37
