Name	ncbiTaxID	Superkingdom	Phylum	Class	Order	Family	Ecosystem	Environment	Energy Source	Metabolism	Extended Metabolism	Ion for Chemiosmosis	Oxygen Requirement	Min. pH	Max. pH	Avg. Opt. pH	Min. Temp. (°C)	Max. Temp. (°C)	Temp	Pressure for Opt. Temp. (kpa)	Optimum Pressure (Mpa) 	Avg. Opt. salinity (%)	Note	Source	Additional_source	index	TaxID	Strain
Caldisericum exile	693075	Bacteria	Caldiserica	Caldisericia	Caldisericales	Caldisericaceae	Aquatic	Hot spring									55	70	65					https://pubmed.ncbi.nlm.nih.gov/19628600/		375	693075	
Methanothermobacter marburgensis	79929	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Wastewater	Sewage Sludge 	Autotroph,Lithotroph	methanogenesis 		Na+	Anaerobe	5	8	7,1	45	70	65	300		0,0005		https://pubmed.ncbi.nlm.nih.gov/19376257/		376	79929	Marburg DSM 2133
Methanothermobacter thermautotrophicus	187420	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Wastewater	Sewage Sludge 	Autotroph	methanogenesis 		Na+	Anaerobe	6	8,8	7,4	40	70	65	101		0,012		https://www.ncbi.nlm.nih.gov/pmc/articles/PMC179657/pdf/1797135.pdf		377	187420	Delta H
Methanococcus thermolithotrophicus	2186	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Aquatic	Hydrothermal field	Lithotroph	methanogenesis 	Hz and formate serve as substrates for methane formation.	Na+	Anaerobe	6	8	7	30	70	65	300	50	0,04		https://link.springer.com/article/10.1007/BF00690816		378	2186	
Marinitoga piezophila	443254	Bacteria	Thermotogae	Thermotogae	Petrotogales	Petrotogacceae	Aquatic	Hydrothermal vent	Chemoorganotroph	fermentation,sulfur-reduction	Grows on complex organic compounds and several carbohydrates in the presence of yeast extract. -Cystine and elemental sulfur greatly enhance growth but are not absolutely required		Anaerobe	5	8	6	45	70	65	101	40	0,03		https://pubmed.ncbi.nlm.nih.gov/12148648/#:~:text=Growth%20is%20enhanced%20by%20hydrostatic,20%20min%20at%2040%20MPa).		379	443254	KA3
Streptomyces thermoautotrophicus	1469144	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Terrestrial	Burning charcoal pile									10	70	65					https://www.ncbi.nlm.nih.gov/pmc/articles/PMC185059/		380	1469144	
Thermus tengchongensis	1214928	Bacteria	Deinococcus-Thermus	Deinococci	Thermales	Thermaceae	Terrestrial	Heated soil									55	70	65					https://pubmed.ncbi.nlm.nih.gov/23104072/		381	1214928	
Carboxydothermus islandicus	661089	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Aquatic	Hot spring									50	70	65					https://pubmed.ncbi.nlm.nih.gov/21131500/		382	661089	
Carboxydothermus pertinax	870242	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Aquatic	Hot spring (Acidic)									50	70	65					https://pubmed.ncbi.nlm.nih.gov/21908679/		383	870242	
Carboxydothermus siderophilus	441616	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Aquatic	Hot spring									52	70	65					https://pubmed.ncbi.nlm.nih.gov/19196756/		384	441616	
Moorella humiferrea	676965	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Aquatic	Hot spring									46	70	65					https://pubmed.ncbi.nlm.nih.gov/21531740/		385	676965	
Moorella mulderi	202604	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Bioreactor	Thermophilic bioreactor									40	70	65					https://pubmed.ncbi.nlm.nih.gov/12637975/		386	202604	
Moorella stamsii	1266720	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Wastewater	Sewer system									50	70	65					https://pubmed.ncbi.nlm.nih.gov/23749275/	https://www.sciencedirect.com/science/article/pii/S0923250804002372	387	1266720	
Thermanaeromonas burensis	1226730	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Terrestrial	Subterranean clay environment									55	70	65					https://pubmed.ncbi.nlm.nih.gov/26541283/		388	1226730	
Thermovenabulum gondwanense	520767	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacterales Family III. Incertae Sedis	Aquatic	Basin									50	70	65					https://pubmed.ncbi.nlm.nih.gov/19666811/		389	520767	
Thermodesulfovibrio yellowstonii	289376	Bacteria	Nitrospirae	Thermodesulfovibrionia	Thermodesulfovibrionales	Thermodesulfovibrionaceae	Aquatic	Thermal waters	Chemoorganotroph	fermentation,sulfate-reduction	With sulfate as an electron acceptor, electron donors are lactate, pyruvate, and hydrogen. Incomplete oxidation to acetate. Acetate, propionate, butyrate, isobutyrate, ethanol, propanol, malate, fumarate, succinate, glucose, fructose, benzoate, valerate, isovalerate, and glutamate are not used as electron donors. With lactate as electron donor, electron acceptors are sulfate, thiosulfate, and sulfite. Nitrate, fumarate, and sulfur are not used. 		Anaerobe	6,5	7.7.	7	40	70	65					https://pubmed.ncbi.nlm.nih.gov/11541228/		390	289376	DSM 11347
Aciduliprofundum sp	673860	Archaea	Euryarchaeota	unclassified	unclassified	unclassified	Aquatic	Hydrothermal vent	Chemolithoautotroph 	sulfate-reduction,iron-reduction	NAS-02 grew with sulfur species and Fe3+ as sole electron acceptors, but neither NO3− nor O2. Neither fermentative nor autotrophic growth was observed. It used proteinaceous substances (such as yeast extract and peptone) as the electron donors and carbon sources, but not the other organic carbon compounds tested.		Facultative Anaerobe	4,4	5,5	5	60	70	65	101				https://ediss.sub.uni-hamburg.de/volltexte/2019/8452/pdf/Dissertation.pdf		391	673860	MAR08-339
Conexivisphaera calidus	1874277	Archaea	Candidatus Geothermarchaeota				Aquatic	Hot spring									60	70	65					https://pubmed.ncbi.nlm.nih.gov/31171857/		392	1874277	
Thermorudis peleae	1382356	Bacteria	Chloroflexi	Thermomicrobia			Aquatic	Geothermally heated biofilm									55	70	65					https://pubmed.ncbi.nlm.nih.gov/24814334/		393	1382356	
Thermosyntropha lipolytica	54294	Bacteria	Firmicutes	Clostridia	Clostridiales	Syntrophomonadaceae	Aquatic	Hot spring									52	70	63					https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/00207713-46-4-1131		394	54294	
Alicyclobacillus acidocaldarius	405212	Bacteria	Firmicutes	Bacilli	Bacillales	Alicyclobacillaceae	Industrial 	Fruit processing	Heterotroph	polysaccharide metabolism,aerobic respiration	"The carbon and energy sources utilized include glucose, galactose, glycerol, and Casamino Acids. No growth occurs when succinate, acetate, sorbitol, citrate, or ethanol is the
sole carbon source. Only aerobic growth occurs on media containing nitrate. Growth occurs with ammonia but not with nitrate as a sole nitrogen source"		Aerobe	2	6	3,5	45	70	62,5	101		<5%		https://www.sciencedirect.com/science/article/abs/pii/S0740002008001378?via%3Dihub	https://www.microbiologyresearch.org/docserver/fulltext/ijsem/42/2/ijs-42-2-263.pdf?expires=1622840554&id=id&accname=guest&checksum=64C7CC3A7D46CF24C3DA154BC5BB7670	395	405212	
Deferribacter desulfuricans	639282	Bacteria	Deferribacteres	Deferribacteres	Deferribacterales	Deferribacteraceae	Aquatic	Hydrothermal vent	Heterotroph	sulfur-reduction,nitrate-reduction	Growth uses organic compounds such as yeast extract, tryptone, peptone, casein, Casamino acids, ethanol, citrate, tartrate, fumarate, malate, succinate, propionate, lactate, oxalate, pyruvate, acetate and formate as sole energy and carbon sources. Elemental sulfur, nitrate or arsenate are absolutely required for growth as electron acceptors, being respectively reduced to sulfide, nitrite and arsenite. Ammonium and nitrate serve as nitrogen sources. 		Anaerobe	5	7,5	6,5	40	70	62,5	300				https://pubmed.ncbi.nlm.nih.gov/12807210/		396	639282	SSM1
Desulfurobacterium crinifex	206249	Bacteria	Aquificae	Aquificae	Aquificales	Desulfurobacteriaceae	Aquatic	Hydrothermal vent	Chemolithoautotroph 	sulfur-reduction,nitrate-reduction	Molecular hydrogen was the sole electron donor used by the strain. Nitrate and elemental sulfur served as electron acceptors, yielding ammonia and hydrogen sulfide, respectively (nitrate-reduction supported higher growth rates than sulfur-reduction)		Anaerobe	5	7,5	6,25	50	70	62,5	200		0,03		https://pubmed.ncbi.nlm.nih.gov/12743834/		397	206249	
Sulfurihydrogenibium subterraneum	171121	Bacteria	Aquificae	Aquificae	Aquificales	Hydrogenothermaceae	Aquatic	Hot Aquifer	Chemolithoautotroph 	sulfur-oxidation,thiosulfate-oxidation	capable of growth solely with molecular hydrogen, thiosulfate or elemental sulfur as an electron donor and carbon dioxide as a carbon source (Takai et al., 2002). Other reduced sulfur compounds such as sulfide and cysteine hydrochloride did not serve as electron donors. None of the complex organic substrates (yeast extract, peptone, tryptone, Casamino acid and starch), amino acids, carbohydrates or organic acids tested either supported or improved growth of the isolate. When either hydrogen or thiosulfate was used as an electron donor, the isolate was able to utilize molecular oxygen, nitrate, soluble (ferric citrate) and insoluble (ferrihydrite) iron (III), arsenate, selenate and selenite as electron acceptors. Nitrite, manganese (IV), arsenite, sulfite, sulfate and fumarate were unable to support growth as potential electron acceptors		Facultative Anaerobe	6,4	8,8	7,5	40	70	62,5			0		https://pubmed.ncbi.nlm.nih.gov/12807207/		398	171121	
Thermanaerovibrio velox	108007	Bacteria	Synergistetes	Synergistia	Synergistales	Synergistaceae	Aquatic	Caldera									45	70	62,5					https://pubmed.ncbi.nlm.nih.gov/10843074/		399	108007	
Thermus amyloliquefaciens	1449080	Bacteria	Deinococcus-Thermus	Deinococci	Thermales	Thermaceae	Aquatic	Hot spring	Heterotroph	nitrate-reduction,aerobic respiration	Glucose, sucrose, glycerol, maltose, raffinose, trehalose, rhamnose, inositol, xylitol, mannitol, sodium malate, mannose and L-arabinose can be utilized as sole carbon sources, but fructose, cellobiose, galactose, succinic acid, xylose and sorbitol are not utilized.		Aerobe	6	8	7	50	70	62,5			0		https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.000289		400	1449080	
Alicyclobacillus hesperidum	89784	Bacteria	Firmicutes	Bacilli	Bacillales	Alicyclobacillaceae	Terrestrial	Solfataric field	Heterotroph	polysaccharide metabolism,aerobic respiration	Yeast extract or growth factors are not required for growth. The major fatty acids are ω-cyclohexyl C17: 0 and ωcyclohexyl C19: 0; branched-chain fatty acids are also present. Strains do not reduce nitrate to nitrite. Gelatin and hide powder are hydrolyzed, but elastin and fibrin are not. Strain FR-3 does not hydrolyze starch. Strains FR-3 and FR-6T utilize many hexoses and disaccharides, but pentoses and polyols, with the exception of mannitol and glycerol, are not utilized as single carbon sources. Several amino acids are utilized as single carbon sources. Acid is produced from virtually the same sugars that are utilized as single carbon sources		Aerobe	2	6	3,75	40	70	61,5	101				https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/00207713-50-2-451#tab2		401	89784	
Dissulfuribacter thermophilus	1156395	Bacteria	Proteobacteria	Deltaproteobacteria			Aquatic	Hydrothermal vent									28	70	61					https://pubmed.ncbi.nlm.nih.gov/23024145/		402	1156395	
Thermoanaerobacterium saccharolyticum	1094508	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	 Thermoanaerobacterales Family III	Aquatic	Hot spring	Chemoorganotroph	fermentation	Ferments a wide variety of carbohydrates, including glucose, fructose, mannose, galactose, maltose, cellobiose, sucrose, lactose, trehalose, xylose, starch, rhamnose, raffinose, and xylan. Cellulose, ribose, melibiose, melezitose, xylitol, and sorbitol are not fermented. No growth occurs in the absence of a fermentable carbohydrate. The fermentation products from either glucose or xylan include ethanol, acetic acid, lactic acid, H,, and CO,. L-Rhamnose is fermented to equimolar amounts of 1,2-propandiol and a mixture of ethanol, acetic acid, lactic acid, H,, and C02.		Anaerobe	5	7,5	6	45	70	60					https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/00207713-43-1-41		403	1094508	JW/SL-YS485, DSM 8691
Thermoanaerobacterium xylanolyticum	858215	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	 Thermoanaerobacterales Family III	Aquatic	Hot spring	Chemoorganotroph	fermentation	Utilizes xylan, mannose, sucrose, cellobiose, arabinose, rhamnose, galactose, fructose, maltose, pyruvate, lactose, and glucose. Cellulose, melibiose, melezitose, xylitol, ribose, raffinose, and lactate are not fermented. The fermentation end products include ethanol, acetic acid, H,, and CO,. Lactate is not detected in fermentation broth.		Anaerobe	5	7,5	6	45	70	60			<1%		https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/00207713-43-1-41		404	858215	LX-11, DSM 7097
Geobacillus thermokeovorans	1111068	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Terrestrial	Mud	Chemorganotroph	fermentation,aerobic respiration	Substrates tested which could support growth of all ten strains included: n-alkanes from 13 to 20 carbons in length, 9-heptadecanone, 2-nonadecanone, acetate, butyrate, pyruvate, cellobiose, galactose, glucose, maltose, mannose, ribose, sucrose, trehalose, mannitol, casein, nutrient broth, peptone, tryptone and yeast extract. Substrates tested which were unable to support growth of any included: n-alkanes from methane to nonane and those greater than 20 carbons in length, 1-alkenes from 7 to 18 carbons in length, alcohols from 5 to 15 carbons in length, acetone, 2-alkanones from 5 to 12 carbons in length, 3-tetradecanone, cycloalkanones from 5 to 7 carbons, cycloalkanes of 5 to 7 carbons, lactose, rhamnose, sorbose and sorbitol. Addition of various nitrogen sources to the mineral salts medium with n-heptadecane as carbon source indicated that NH4 saltsere utilized by all isolates. Every strain except NR-9 and S-IV could use NaNO3 but generally a lesser total growth was attained. Glycine was not utilized by any strains as substrate but NR-9 utilized it as a source of nitrogen. All 10 strains are catalase positive and all but NR-9 hydrolyze starch.		Aerobe			6,85	40	70	60	101		<5%		https://www.sciencedirect.com/science/article/abs/pii/S0723202087800310		405	1111068	CCB_US3_UF5
Geobacillus toebii	153151	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Terrestrial	Compost heap	Chemorganotroph	nitrate-reduction,aerobic respiration	Catalase-positive. Acid is produced from glucose but not from xylose or mannitol. The Voges–Proskauer test is positive		Aerobe	6	9	7,5	45	70	60	101		<5%		https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/00207713-52-6-2251		406	153151	
Anoxybacillus kaynarcensis	1173302	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Aquatic	Hot spring									35	70	60					https://pubmed.ncbi.nlm.nih.gov/22736500/		407	1173302	
Caldibacillus debilis	301148	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Terrestrial	Soil sediment									50	70	60				Formerly known as Geobacillus debilis	https://pubmed.ncbi.nlm.nih.gov/15545458/		408	301148	
Caldithrix abyssi	880073	Bacteria	Calditrichaeota	Calditrichae	Calditrichales	Calditrichaceae	Aquatic	Hydrothermal vent	Chemoorganoheterotroph	fermentation,nitrate-reduction	 Able to ferment pyruvate, Casamino acids and proteinaceous substrates. Capable of lithoheterotrophic growth with molecular hydrogen or acetate, in the presence of nitrate. In the course of denitrification, ammonium is produced. Yeast extract is required for growth.		Anaerobe	5,8	7,8	6,9	40	70	60	101		0,025		https://pubmed.ncbi.nlm.nih.gov/12656191/		409	880073	LF13, DSM 13497
Clostridium caenicola	659425	Bacteria	Firmicutes	Clostridia	Clostridales	Clostridiaceae	Bioreactor	Bioreactor sludge	Chemoorganotroph	fermentation	Cellobiose, amygdalin, arabinose, glucose, maltose, mannitol, salicin and starch are utilized as carbon and energy sources. The following compounds are not utilized: cellulose, adonitol, dulcitol, erythritol, fructose, galactose, glycerol, glycogen, inositol, inulin, lactose, mannose, melibiose, melezitose, raffinose, rhamnose, ribose, sorbitol, sorbose, sucrose, trehalose, xylitol and xylose. Fermentation products are hydrogen, carbon dioxide, acetate, lactate and ethanol. Hydrolysis of aesculin is positive, while hydrolysis of casein and gelatin is negative. Negative for nitrate and sulfate reduction, indole production, lecithinase, lipase and catalase		Anaerobe	6	8	6,5	50	70	60	101		0,01	cellulose-/cellobiose-digesting	https://pubmed.ncbi.nlm.nih.gov/19542130/		410	659425	DSM 19027
Caloramator australicus	515264	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Aquatic	Borehole									45	70	60					https://pubmed.ncbi.nlm.nih.gov/19126731/		411	515264	
Caloranaerobacter ferrireducens	1323370	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Aquatic	Hydrothermal vent									40	70	60					https://pubmed.ncbi.nlm.nih.gov/25736413/		412	1323370	
Carboxydocella sporoproducens	285110	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales Family XVI. Incertae Sedis	Aquatic	Hot spring									50	70	60					https://pubmed.ncbi.nlm.nih.gov/16585697/		413	285110	
Caminibacter hydrogeniphilus	152526	Bacteria	Proteobacteria	Epsilonproteobacteria	Nautiliales	Nautiliaceae	Aquatic	Hydrothermal vent									50	70	60					https://pubmed.ncbi.nlm.nih.gov/12148646/		414	152526	
Marinitoga litoralis	570855	Bacteria	Thermotogae	Thermotogae	Petrotogales	Petrotogacceae	Aquatic	Hot spring	Chemoorganotroph	fermentation,sulfur-reduction	able to ferment cellobiose, galactose, glucose, glycogen, lactose, maltose, ribose, starch, brain heart infusion, Casamino acids, casein, peptone, pyruvate, tryptone and yeast extract. Sulfur, cystine and thiosulfate slightly stimulate growth and H2S production is observed in the presence of sulfur.		Anaerobe	5,5	7,5	6	45	70	60			0,026		https://pubmed.ncbi.nlm.nih.gov/19749030/		415	570855	
Rubrobacter taiwanensis	185139	Bacteria	Actinobacteria	Rubrobacteria	Rubrobacterales	Rubrobacteraceae	Aquatic	Hot spring									30	70	60					https://pubmed.ncbi.nlm.nih.gov/15388754/		416	185139	
Thermosyntropha tengcongensis	873078	Bacteria	Firmicutes	Clostridia	Clostridiales	Syntrophomonadaceae	Aquatic	Hot spring									55	70	60					https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.033456-0		417	873078	
Meiothermus ruber	504728	Bacteria	Deinococcus-Thermus	Deinococci	Thermales	Thermaceae	Aquatic	Hot spring	Chemoorganoheterotroph	aerobic respiration,carbohydrate metabolism			Aerobe				35	70	60				Also known as Thermus ruber	https://pubmed.ncbi.nlm.nih.gov/1177778/		418	504728	DSM 1279
Thermus caldifontis	1930763	Bacteria	Deinococcus-Thermus	Deinococci	Thermales	Thermaceae	Aquatic	Hot spring	Heterotroph	nitrate-reduction,aerobic respiration	Utilizes L-arabinose, L-arginine, Lasparagine, D-fructose, D-galactose, D-glucose, glycerol, lactose, sodium malate, D-mannitol, D-mannose, D-ribose, Lserine, sucrose and L-tyrosine as sole carbon sources, but not D-cellobiose, inositol, L-proline, D-raffinose, ribitol, Lsorbose, D-trehalose or D-xylose. 		Aerobe	6	8	7	50	70	60	101		<1%		https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijsem.0.002037		419	1930763	
Thermodesulfovibrio aggregans	86166	Bacteria	Nitrospirae	Thermodesulfovibrionia	Thermodesulfovibrionales	Thermodesulfovibrionaceae	Wastewater	Wastewater treatment lagoon	Chemoautotroph	sulfur-reduction	With sulfate as electron acceptor, the electron donors are lactate, hydrogen (in the presence of acetate), formate (in the presence of acetate)and pyruvate. Organic substrates are oxidized incompletely to to acetate. Malate, fumarate, succinate, methanol, 1-propanol, 1-butanol, benzoate, phenol, acetate, propionate and butyrate are not used as electron donors. With lactate as electron donor, the electron acceptors are sulfate, thiosulfate and Fe(III) NTA		Anaerobe	6	8,5	6,75	45	70	60	101				https://pubmed.ncbi.nlm.nih.gov/18984690/		420	86166	
Deferrisoma palaeochoriense	1573172	Bacteria	Proteobacteria	Deltaproteobacteria			Aquatic	Hydrothermal vent									30	70	60					https://pubmed.ncbi.nlm.nih.gov/26610851/		421	1573172	
Carboxydocella manganica	744873	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales Family XVI. Incertae Sedis	Aquatic	Hot spring									26	70	59					https://pubmed.ncbi.nlm.nih.gov/21642487/		422	744873	
Thermincola ferriacetica	281456	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Aquatic	Hot spring									45	70	58,5					https://pubmed.ncbi.nlm.nih.gov/16988758/		423	281456	
Anaerobranca californiensis	182411	Bacteria	Firmicutes	Clostridia	Clostridiales	Proteinivoraceae	Aquatic	Hot spring									45	70	58					https://pubmed.ncbi.nlm.nih.gov/15143017/		424	182411	
Geobacillus caldoxylosilyticus	81408	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Terrestrial	Soil sediment	Chemoorganotroph	nitrate-reduction	Acid production from glucose, fructose, sucrose, maltose, trehalose, lactose, galactose, cellobiose, arabinose, ribose and xylose. Starch and casein are hydrolyzed. Strains vary in their utilization of rhamnose and citrate. All strains are negative for indole and urease production, the Voges–Proskauer test (acetylmethylcarbinol production) and anaerobic growth		Anaerobe	6	10		42	70	57,5			<3%	formerly Saccharococcus caldoxylosilyticus or Parageobacillus caldoxylosilyticus	https://pubmed.ncbi.nlm.nih.gov/11760948/	https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijsem.0.004550	425	81408	
Geobacillus lituanicus	169283	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Aquatic	Oil field 	Chemoorganotroph,Heterotroph	nitrate-reduction	Produces acid from l-arabinose, ribose, d-xylose, galactose,  mannitol, cellobiose. Catalase and Oxidase positive. Hydrolysis of casin and collagen. Starch digested.		Facultative Anaerobe			6,5	55	70	57,5	101		0		https://www.microbiologyresearch.org/docserver/fulltext/ijsem/54/6/1991.pdf?expires=1626319433&id=id&accname=guest&checksum=70C75F26306FD738681A16ACB2F97BFB		426	169283	
Geobacillus thermodenitrificans	33940	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Terrestrial	Soil sediment	Chemoorganotroph	fermentation,nitrate-reduction	Positive for catalase, growth in presence of 3% NaCl, nitrate and nitrite reduction to gas and anaerobic production of gas from nitrate. Most strains are able to hydrolyze starch and a few degrade casein weakly. Negative for indole and urease production and Voges–Proskauer reaction. Glucose, fructose, maltose, trehalose, mannose, lactose, cellobiose, galactose, xylose, ribose and arabinose are utilized as sole carbon sources.		Facultative Anaerobe	6	8		45	70	57,5					https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/00207713-50-3-1331		427	33940	
Anoxybacillus gonensis	198467	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Aquatic	Hot spring									40	70	57,5					https://pubmed.ncbi.nlm.nih.gov/13130012/		428	198467	
Cetia pacifica	1424653	Bacteria	Proteobacteria	Epsilonproteobacteria	Nautiliales	Nautiliaceae	Aquatic	Hydrothermal vent									45	70	57,5					https://pubmed.ncbi.nlm.nih.gov/25604337/		429	1424653	
Marinitoga okinawensis	389480	Bacteria	Thermotogae	Thermotogae	Petrotogales	Petrotogacceae	Aquatic	Hydrothermal field	Chemoorganotroph	fermentation,sulfur-reduction	fermentation is suppressed, but not completely inhibited by hydrogen. Obligately chemo-organotrophic. Grows with proteinaceous complex compounds such as yeast extract, tryptone peptone and peptone. Several carbohydrates, starch, glucose and glycerol, also support growth with yeast extract. Growth is greatly enhanced by the addition of sulfur and L-cystine		Anaerobe	5	7,4	5,65	30	70	57,5	200		0,0325		https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.64640-0		430	389480	
Moorella perchloratireducens	411923	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Industrial	Underground gas storage									40	70	57,5					https://pubmed.ncbi.nlm.nih.gov/17981952/		431	411923	
Oceanotoga teriensis	515440	Bacteria	Thermotogae	Thermotogae	Petrotogales	Petrotogacceae	Aquatic	Oil well	Chemoorganotroph	sulfur-reduction,thiosulfate-reduction	 able to grow on glucose, fructose, starch, cellobiose, arabinose, raffinose, xylan, rhamnose, sucrose, xylose, ribose and complex proteinaceous substances such as brain-heart infusion, bio-Trypticase and peptone in the presence of yeast extract. Reduces thiosulfate and elemental sulfur to sulfide. The end products of glucose fermentation are H2, CO2 and acetic acid.		Anaerobe	5,5	9	7,55	25	70	56,5			0,0425		https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.018036-0		432	515440	
Moorella thermoautotrophica	1560	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Terrestrial	Soil sediment									36	70	56,5				Formerly known as Clostridium thermoautotrophicum	https://link.springer.com/article/10.1007/BF01571158		433	1560	
Acidothermus cellulolyticus	351607	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Acidothermaceae	Aquatic	Hot spring			grow on Dglucose, D-cellobiose, cellulose, xylan, D-galactose, maltose, sucrose, raffinose, D-mannose, D-mannitol, or Dsorbitol as sole source of carbon and energy, with ammonium ion or amino acids as a source of nitrogen. Grows on Casamino Acids (0.1%) plus tryptone (0.1%); n		Aerobe	3,5	7	5	37	70	55	101				https://www.microbiologyresearch.org/docserver/fulltext/ijsem/36/3/ijs-36-3-435.pdf?expires=1623697641&id=id&accname=guest&checksum=499AB8C381D0CD58AE949C6B53963B30		434	351607	11B
Anoxybacillus calidus	575178	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Industrial	Thermal power plant									35	70	55					https://pubmed.ncbi.nlm.nih.gov/24052627/		435	575178	
Anoxybacillus eryuanensis	651866	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Aquatic	Hot spring									35	70	55					https://pubmed.ncbi.nlm.nih.gov/20173008/		436	651866	
Microaerobacter geothermalis	674972	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Aquatic	Hot spring									37	70	55					https://pubmed.ncbi.nlm.nih.gov/20358237/		437	674972	
Brassicibacter thermophilus	1548890	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Aquatic	Marine sediment									30	70	55					https://pubmed.ncbi.nlm.nih.gov/25999591/		438	1548890	
Fonticella tunisiensis	1096341	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Aquatic	Hot spring									45	70	55					https://pubmed.ncbi.nlm.nih.gov/23024143/		439	1096341	
Methanothrix thermoacetophila	2224	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosaetaceae	Aquatic 	Thermal lake	Chemorganotroph	methanogenesis 		Na+	Anaerobe				50	70	55	101		0		https://www.microbiologyresearch.org/docserver/fulltext/ijsem/42/3/ijs-42-3-463.pdf?expires=1613489299&id=id&accname=guest&checksum=DF35B67180C81AACCAE917933CB5D96C		440	2224	Z-517
Caminibacter mediatlanticus	291048	Bacteria	Proteobacteria	Epsilonproteobacteria	Nautiliales	Nautiliaceae	Aquatic	Hydrothermal vent									45	70	55					https://pubmed.ncbi.nlm.nih.gov/15774661/		441	291048	
Desulfotomaculum nigrificans	1565	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Wastewater	Wastewater treatment lagoon									30	70	55					https://link.springer.com/article/10.1007/s11021-005-0104-x		442	1565	
Meiothermus rosaceus	142584	Bacteria	Deinococcus-Thermus	Deinococci	Thermales	Thermaceae	Aquatic	Hot spring	Chemoorganoheterotroph	polysaccharide metabolism,aerobic respiration	The species is oxidase- and catalase-positive. Nitrate is not reduced to nitrite. The species utilizes glucose, galactose and acetate, but does not hydrolyze starch and gelatin, or utilize sucrose and maltose		Aerobe	4,5	10	8,5	40	70	55	101				https://academic.oup.com/femsle/article/216/2/263/484426		443	142584	
