Name	Strain	Temp	Source_ID	ncbiTaxID	Genome
Reinekea marina	HME8277	30	CECT 8288	1310421	
Ferruginibacter yonginensis	HME8442	30	CECT 8289	1310416	
Novosphingobium sp	HME8448	30	CECT 8290	-1	
Pedobacter rivuli	HME8457	30	CECT 8291	1191371	
Mucilaginibacter sp	HME8677	26	CECT 8292	-1	
Enterococcus faecium	CIP 106876	37	CECT 8293	1352	
Escherichia coli	CIP 105180	30	CECT 8294	562	
Escherichia coli	CIP 105181	30	CECT 8295	562	
Escherichia coli	CIP 106878	30	CECT 8296	562	
Algibacter miyuki	WS-MY6	26	CECT 8300	1306933	
Algibacter wandonensis	WS-MY22	26	CECT 8301	-1	
Colwellia meonggei	MA1-3	26	CECT 8302	1354731	
Actinopolyspora mzabensis	DSM 45460	30	CECT 8303	995066	
Salinifilum ghardaiensis	DSM 45606	30	CECT 8304	1293032	
Streptomyces zagrosensis	DSM 42018	30	CECT 8305	1042984	GCF_014203645; 
Rubrobacter calidifluminis	RG-1	60	CECT 8308	1392640	
Rubrobacter calidifluminis	RG-6	60	CECT 8309	1392640	
Rubrobacter naiadicus	RG-3	60	CECT 8310	1392641	
Rubrobacter naiadicus	RG-8	60	CECT 8311	1392641	
Streptococcus oralis	Str 7747	37	CECT 8312	1303	GCA_000382825.1
Streptococcus oralis	Str 7746	37	CECT 8313	1303	
Pseudomonas aestusnigri	VGXO14	30	CECT 8317	-1	GCA_002197985.1
Mycobacterium sp	W1.09-232	30	CECT 8321	-1	
Mycobacterium sp	W2.10-231	30	CECT 8322	-1	
Mycobacterium sp	W1.10-29	30	CECT 8323	-1	
Mycobacterium sp	W1.10-68	30	CECT 8324	-1	
Mycobacterium sp	B0.10-7	30	CECT 8325	-1	
Aquisalimonas lutea	BA42AL-1	37	CECT 8326	1327750	
Fontibacillus phaseoli	BAPVE7B	30	CECT 8333	1416533	
Pseudomonas salegens	GBPy5	30	CECT 8338	-1	GCA_900105655.1
Aliidiomarina iranensis	GBPy7	37	CECT 8339	1434071	GCA_003987135.1
Aliidiomarina sedimenti	GBSy1	30	CECT 8340	1933879	GCA_003986955.1
Cyclobacterium halophilum	GASx41	30	CECT 8341	-1	
Salinispirillum marinum	GCWy1	30	CECT 8342	1485203	
Legionella pneumophila	CCUG 13398	37	CECT 8343	446	GCA_000586315.1
Campylobacter upsaliensis	CCUG 24803	37	CECT 8344	28080	
Hathewaya limosa	CCUG 24037	37	CECT 8345	1536	
Clostridium tetani	CCUG 4220	37	CECT 8346	1513	GCA_000762305.1
Enterococcus sp	Gf1	30	CECT 8351	-1	
Enterococcus sp	Gf2	30	CECT 8352	-1	
Endozoicomonas gorgoniicola	PS125	26	CECT 8353	1234144	
Microbacterium endophyticum	PA15	30	CECT 8354	1526412	
Microbacterium diaminobutyricum	RZ63	30	CECT 8355	1810851	
Microbacterium proteolyticum	RZ36	30	CECT 8356	1572644	GCF_014192415 
Idiomarina aquatica	SN-14	37	CECT 8360	1327752	GCA_003987185.1
Neisseria gonorrhoeae	DSM 9189	37	CECT 8362	485	
Bradyrhizobium algeriense	RST89	30	CECT 8363	634784	GCA_003062285.1
Bradyrhizobium sp	LmjM3	30	CECT 8364	-1	GCA_001440405.1
Flavobacterium gyeonganense	HME7524	26	CECT 8365	1310418	
Ferruginibacter paludis	HME8881	26	CECT 8366	1310417	
Limimaricola soesokkakensis	DSSK1-5	30	CECT 8367	1343159	GCA_900172345.1
Kordia jejudonensis	SSK3-3	30	CECT 8368	1348245	GCA_001005315.1
Mariniflexile soesokkakense	RSSK-9	30	CECT 8369	1343160	
Roseovarius gaetbuli	YM-20	30	CECT 8370	1356575	GCA_900172365.1
Halobellus sp	S2FP8	37	CECT 8371	-1	
Halobellus sp	A1FP7	37	CECT 8372	-1	
Alkalibacillus almallahensis	SILM8	37	CECT 8373	1379154	
Pseudorhodoplanes sinuspersici	RIPI-110	30	CECT 8374	1235591	GCA_002119765.1
Halorientalis persicus	D108	37	CECT 8375	1367881	
Natrinema sp	Ea11	37	CECT 8378	-1	
Haloarcula sp	Ea4	37	CECT 8379	-1	
Gordonia sp	A2	30	CECT 8382	-1	
Sphingomonas lacus	PB304	30	CECT 8383	1355329	
Flavobacterium faecale	WV33	20	CECT 8384	1355330	GCA_003076455.1
Tessaracoccus lapidicaptus	IPBSL-7	30	CECT 8385	1427523	GCA_001693815.1
Rubrobacter radiotolerans	RSPS-4	45	CECT 8386	42256	
Pseudomonas sp	S58	30	CECT 8389	-1	
Spiribacter curvatus	UAH-SP71	26	CECT 8396	1335757	GCA_000485905.1
Pseudooctadecabacter jejudonensis	SSK2-1	30	CECT 8397	1391910	GCA_900172275.1
Aequorivita soesokkakensis	RSSK-12	30	CECT 8398	1385699	GCA_001641085.1
Phaeobacter aquaemixtae	SSK6-1	30	CECT 8399	-1	GCA_001458395.1
Pelistega suis	3340-03	37	CECT 8400	1631957	
Klenkia brasiliensis	DSM 44526	26	CECT 8402	333142	GCA_900100695.1
Saccharopolyspora sp	DSM 45605	26	CECT 8403	-1	
Quadrisphaera sp	DSM 44207	26	CECT 8405	-1	
Blastococcus sp	DSM 44205	26	CECT 8406	-1	GCA_900102115.1
Vibrio parahaemolyticus	CAIM 171	30	CECT 8407	670	
Vibrio harveyi	CAIM 1792	26	CECT 8408	1125980	GCA_000259935.1
Helicobacter valdiviensis	WBE-14	37	CECT 8410	1458358	GCA_003245365.1
Ruegeria meonggei	MA-E2-3	30	CECT 8411	1446476	GCA_900172215.1
Pseudarcicella sp	HME7208	30	CECT 8412	-1	
Pedobacter sp	HME7926	30	CECT 8413	-1	
Thalassomonas sp	HME9272	26	CECT 8414	-1	
Fluviimonas sp	HME9276	26	CECT 8415	-1	
Mucilaginibacter sp	HME9291	30	CECT 8416	-1	
Alteripontixanthobacter maritimus	HME9302	26	CECT 8417	2161824	GCA_003340475.1
Flagellimonas maritima	HME9304	26	CECT 8418	-1	GCA_003269425.1
Neolewinella maritima	HME9321	26	CECT 8419	1383882	GCA_923081025
Halolamina rubra	CBA1108	37	CECT 8420	1380430	
Halolamina rubra	CBA1107	37	CECT 8421	1380430	GCA_000739555.1
Halorhabdus sp	CBA1104	37	CECT 8422	-1	
Halobellus rufus	CBA1103	37	CECT 8423	1448860	GCA_000739575.1
Aeromonas hydrophila	A	30	CECT 8424	644	
Rubrobacter aplysinae	RV113	30	CECT 8425	909625	GCA_001029505.1
Vibrio tubiashii	07/118 T2	26	CECT 8426	29498	
Vibrio tubiashii	04/002 1T2	26	CECT 8427	29498	
Enterococcus casseliflavus	LMG 21866	37	CECT 8430	37734	
Vibrio splendidus	LMG 23851	26	CECT 8431	29497	
Vibrio splendidus	LMG 23852	26	CECT 8432	29497	
Vibrio splendidus	LMG 23853	26	CECT 8433	29497	
Vibrio splendidus	LMG 23854	26	CECT 8434	29497	
Vibrio sp	LMG 16744	30	CECT 8435	-1	
Vibrio sp	LMG 16745	26	CECT 8436	-1	
Vibrio chagasii	CAIM 431	26	CECT 8439	170679	
Vibrio pomeroyi	CAIM 578	26	CECT 8440	198832	
Halarcobacter ebronensis	F128-2	30	CECT 8441	1462615	
Pseudarcobacter aquimarinus	W63	30	CECT 8442	-1	
Lutimonas halocynthiae	RSS3-C1	22	CECT 8444	1446477	
Winogradskyella wandonensis	WD-2-2	30	CECT 8445	1442586	GCF_004346845 
Algoriphagus boseongensis	BS-R1	30	CECT 8446	1442587	
Limosilactobacillus fermentum	PBCC11	37	CECT 8447	1613	
Limosilactobacillus fermentum	PBCC11.5	37	CECT 8448	1613	
Haemophilus influenzae	DSM 11969	37	CECT 8452	727	
Klebsiella pneumoniae	DSM 789	37	CECT 8453	573	
Neisseria gonorrhoeae	DSM 15130	37	CECT 8454	485	
Maribacter caenipelagi	HD-44	26	CECT 8455	1447781	
Wenxinia saemankumensis	S-22	26	CECT 8456	1447782	GCA_900141735.1
Albidovulum sp	HME9669	45	CECT 8457	-1	
Oceanicella sp	HME9670	45	CECT 8458	-1	
Roseibacterium sp	HME9693	37	CECT 8459	-1	
Flavobacterium paronense	KNUS1	20	CECT 8460	1392775	
Flavobacterium sp	KNUW2	20	CECT 8461	-1	
Pontibacter sp	HME6866	30	CECT 8465	-1	
Mzabimyces algeriensis	DSM 45969	26	CECT 8467	-1	
Nocardia casuarinae	DSM 45978	26	CECT 8469	1463564	
Bounagaea algeriensis	DSM 45966	26	CECT 8470	1476748	
Saccharopolyspora sp	DSM 45967	26	CECT 8471	-1	
Fodinicurvata halophila	BA45AL	37	CECT 8472	1419723	
Paenibacillus sp	1011MAR3C5	30	CECT 8476	-1	
Acinetobacter sp	1011TES3C17.1	30	CECT 8477	-1	
Bacillus onubensis	0911TES10J4	30	CECT 8478	-1	
Bacillus onubensis	0911MAR22V3	30	CECT 8479	-1	GCA_002734215.1
Bacillus sp	0911TES21U5	30	CECT 8480	-1	
Paracoccus sp	0911TES13M5	30	CECT 8481	-1	
Paracoccus cavernae	0511ARD5E5	30	CECT 8482	1571207	
Seonamhaeicola aphaedonensis	AH-M5	26	CECT 8487	1461338	GCA_003386195.1
Aestuariispira insulae	AH-MY2	30	CECT 8488	1461337	
Boseongicola aestuarii	BS-W15	26	CECT 8489	1470561	GCA_900184815.1
Chryseobacterium artocarpi	UTM-3	30	CECT 8497	1414727	GCA_001684975.1
Streptococcus cuniculi	NED12-00049-6B	37	CECT 8498	1432788	GCA_001921845.1
Pedobacter antarcticus	DSM 15311	20	CECT 8499	34086	
Rosenbergiella australiborealis	CdVSA 20.1	30	CECT 8500	1544696	
Rosenbergiella collisarenosi	8.8A	30	CECT 8501	1544695	
Rosenbergiella epipactidis	2.1A	30	CECT 8502	1544694	
Palleronia abyssalis	3030-F1	30	CECT 8503	1501240	
Palleronia abyssalis	221-F1	30	CECT 8504	1501240	GCA_900302445.1
Palleronia abyssalis	221-F2	30	CECT 8505	1501240	
Salinithrix halophila	R4S8	37	CECT 8506	1485204	
Halomonas sp	4aB16	37	CECT 8507	-1	
Aliicoccus persicus	A76	37	CECT 8508	930138	
Bradyrhizobium icense	LMTR 13	26	CECT 8509	1274631	
Natribaculum luteum	DA50	37	CECT 8510	1586232	GCA_023008545.1
Myceligenerans cantabricum	M-201	26	CECT 8512	1479025	
Sneathiella chungangensis	CAU 1294	30	CECT 8513	1418234	
Variibacter gotjawalensis	GJW-30	26	CECT 8514	1333996	GCA_002355335.1
Mycobacterium avium	HCUV-346908	37	CECT 8515	1764	
Mycobacterium abscessus	HCUV-356153	37	CECT 8517	-1	
Mycobacterium abscessus	HCUV-356880	37	CECT 8518	-1	
Mycobacterium kumamotonense	HCUV-350225	37	CECT 8520	-1	
Mycobacterium avium	HCUV-357124	37	CECT 8521	1764	
Mycobacterium abscessus	HCUV-355317	37	CECT 8522	-1	
Vibrio jasicida	CAIM 1023	26	CECT 8524	766224	
Paracoccus lutimaris	HDM-25	30	CECT 8525	1490030	GCA_003337565.1
Hydrogenophaga sp	HDM-18	30	CECT 8526	-1	
Pontixanthobacter aestiaquae	HDW-31	30	CECT 8527	1509367	
Tsukamurella tyrosinosolvens	HCUV-357227	37	CECT 8529	57704	
Nocardia mikamii	HCUV-362713	37	CECT 8530	508464	
Sphingorhabdus arenilitoris	GJR-7	30	CECT 8531	1490041	
Aestuariivita boseongensis	BS-B2	30	CECT 8532	1470562	GCA_001262635.1
Mycobacterium abscessus	HCUV-360886	37	CECT 8534	-1	
Thermoactinomyces sp	JIR-004	55	CECT 8535	-1	
Aneurinibacillus tyrosinisolvens	LL-002	30	CECT 8536	1443435	GCA_001015055.1
Brevundimonas denitrificans	TAR-002	30	CECT 8537	1443434	
Litoreibacter ascidiaceicola	RSS4-C1	26	CECT 8539	1486859	GCA_900129235.1
Pseudopelagicola gijangensis	YSS-7	26	CECT 8540	-1	GCA_900142085.1
Nocardia mikamii	HCUV-358311	37	CECT 8541	508464	
Actinomadura bangladeshensis	HCUV-366877	37	CECT 8542	453573	
Listeria fleischmannii	DSM 24998	37	CECT 8543	1069827	GCA_000344175.1
Listeria weihenstephanensis	DSM 24698	30	CECT 8544	1006155	
Moellerella wisconsensis	1400521 C	37	CECT 8547	158849	
Pseudomonas helmanticensis	OHA11	30	CECT 8548	1471381	
Streptomyces alkaliphilus	DSM 42118	30	CECT 8549	1472722	
Streptomyces sp	DSM 42119	26	CECT 8550	-1	
Belliella kenyensis	DSM 46651	26	CECT 8551	1472724	
Nocardiopsis mwathae	DSM 46659	26	CECT 8552	1472723	
Rhodococcus ruber	DD1	30	CECT 8553	1830	
Rhodococcus ruber	EE1	30	CECT 8555	1830	
Rhodococcus ruber	A5	37	CECT 8556	1830	
Agrobacterium sp	MS2	37	CECT 8557	-1	
Paenibacillus etheri	SH7	37	CECT 8558	1306852	GCA_001012825.2
Oceanobacillus arenosus	CAU 1183	30	CECT 8560	1229153	GCA_003369575.1
Aneurinibacillus soli	CB4	30	CECT 8566	1500254	GCA_002355375.1; GCA_003217555.1
Siccibacter colletis	NTU 1383	37	CECT 8567	1505757	GCA_000696575.1
Cronobacter helveticus	NTU 1204	37	CECT 8568	-1	
Mycobacterium sp	HCUV 371985	37	CECT 8569	-1	
Simiduia curdlanivorans	DMCK3-4	30	CECT 8570	1492769	
Simiduia aestuariiviva	J-MY2	30	CECT 8571	1510459	GCF_014192475 
Limimaricola variabilis	J-MR2-Y	37	CECT 8572	1492771	
Lacinutrix venerupis	Cmf 20.8	30	CECT 8573	1486034	GCA_003663945.1
Lacinutrix venerupis	Rd 23.41	30	CECT 8574	1486034	
Halopolyspora algeriensis	DSM 46680	30	CECT 8575	1500506	GCA_003337235.1
Actinopolyspora biskrensis	DSM 46684	30	CECT 8576	1470178	GCF_013408175 
Prauserella isguenensis	DSM 46664	30	CECT 8577	1470180	GCF_014191605 
Actinokineospora mzabensis	DSM 45961	30	CECT 8578	-1	GCA_003182415.1
Thermoactinomyces khenchelensis	DSM 45951	50	CECT 8579	1470181	
Ampullimonas aquatilis	B15.09-124	30	CECT 8580	1341549	
Ampullimonas aquatilis	B15.09-116	30	CECT 8581	1341549	
Cavicella subterranea	W2.09-231	30	CECT 8582	1341550	
Acetobacter sp	W1.09-37	26	CECT 8585	-1	
Halorubrum sp	SD626R	37	CECT 8592	-1	GCA_001261915.1
Microbacterium halimionae	PA36	30	CECT 8593	1526413	
Serratia myotis	12	26	CECT 8594	1521427	
Serratia vespertilionis	52	26	CECT 8595	-1	
Streptococcus penaeicida	CAIM 1838	30	CECT 8596	1765960	GCA_002887775.1
Mesoflavibacter sabulilitoris	GJMS-9	30	CECT 8597	-1	GCA_003008435.1
Sedimentitalea sp	MA2-16	30	CECT 8598	-1	
Ascidiaceihabitans donghaensis	RSS1-M3	30	CECT 8599	1510460	GCA_900302465.1
Rubripirellula obstinata	LF1	26	CECT 8602	406547	GCA_001642955.1
Vibrio renipiscarius	DCr-1-4-2	26	CECT 8603	1461322	GCA_000827885.1
Vibrio renipiscarius	DCr-1-4-12	26	CECT 8604	1461322	
Fermentimonas caenicola	ING2-E5B	37	CECT 8609	1562970	GCA_000953535.1
Proteiniphilum saccharofermentans	M3/6	37	CECT 8610	1642647	GCA_900095135.1
Petrimonas mucosa	ING2-E5A	37	CECT 8611	1642646	GCA_900095795.1
Rhodococcus ruber	EE6	30	CECT 8612	1830	
Methylorubrum rhodesianum	HCUV-9097783	30	CECT 8613	29427	
Methylorubrum rhodesianum	HCUV-9097879	30	CECT 8614	29427	
Methylorubrum rhodesianum	HCUV-8081395	30	CECT 8615	29427	
Bordetella bronchiseptica	HCUV-400572	37	CECT 8616	518	
Methylorubrum rhodesianum	HCUV-392608	30	CECT 8617	29427	
Serratia marcescens	HCUV-398879	26	CECT 8618	615	
Rubrobacter sp	MD2-16	45	CECT 8619	-1	
Aquimixticola soesokkakensis	DSSK2-3	30	CECT 8620	1519096	GCA_900172375.1
Confluentimicrobium lipolyticum	SSK1-4	30	CECT 8621	-1	GCA_900184935.1
Mariniflexile ostreae	TYO-10	30	CECT 8622	1520892	
Rheinheimera arenilitoris	J-MS1	30	CECT 8623	-1	
Alteriqipengyuania lutimaris	S-5	30	CECT 8624	1538146	GCA_003363135.1
Roseivivax jejudonensis	CDM-17	30	CECT 8625	1529041	GCA_900172265.1
Defluviimonas aquaemixtae	CDM-7	30	CECT 8626	1542388	GCA_900302475.1
Pseudohongiella acticola	GBSW-5	30	CECT 8627	1524254	GCA_001758195.1
Mucilaginibacter gotjawali	SA3-7	30	CECT 8628	1550579	GCA_002355435.1
Pseudorhizobium pelagicum	R1-200B4	30	CECT 8629	1509405	GCA_000722615.1
Bradyrhizobium lupini	USDA 3051	26	CECT 8630	136996	
Mesorhizobium erdmanii	USDA 3471	30	CECT 8631	1040983	GCA_000472705.1
Mesorhizobium jarvisii	ATCC 33669	30	CECT 8632	1562532	GCA_003601985.1
Moraxella catarrhalis	HCUV-405055	37	CECT 8634	480	
Stenotrophomonas maltophilia	HCUV-404863	37	CECT 8635	40324	
Klebsiella michiganensis	HCUV-406329	37	CECT 8636	1134687	
Achromobacter xylosoxidans	HCUV-405311	37	CECT 8637	85698	
Mycobacterium sp	Manresa	37	CECT 8638	-1	GCA_000805375.1
Actinoalloteichus hoggarensis	AH97	30	CECT 8639	1470176	GCA_002234535.1; 
Saccharothrix tamanrassetensis	DSM 45947	30	CECT 8640	1051531	
Inquilinus limosus	HCUV-404809	37	CECT 8641	171674	
Mycobacterium shimoidei	HCUV-384986	37	CECT 8642	29313	
Mycobacterium parascrofulaceum	HCUV-385879	37	CECT 8643	240125	
Secundilactobacillus paracollinoides	DSM 15502	30	CECT 8644	240427	
Secundilactobacillus similis	DSM 23365	37	CECT 8645	414682	GCA_001436595.1; GCA_001311075.1
Epibacterium ulvae	DSM 24752	26	CECT 8646	1156985	GCA_002796795.1; 
Sporolactobacillus inulinus	DSM 20348	30	CECT 8647	2078	
Cognatishimia maritima	DSM 28223	26	CECT 8648	870908	GCA_900129685.1
Tropicibacter phthalicicus	DSM 26923	26	CECT 8649	-1	GCA_900184825.1
Shimia aestuarii	DSM 15283	30	CECT 8650	254406	
Litorivivens lipolytica	HJTF-7	26	CECT 8654	1524264	
Polaribacter marinivivus	GYSW-15	30	CECT 8655	1524260	
Thalassotalea ponticola	GJSW-36	26	CECT 8656	1523392	
Vibrio fortis	CAIM 629	26	CECT 8657	212667	
Luteolibacter gellanilyticus	CB-286403	26	CECT 8659	1639998	
Longimicrobium terrae	CB-286315	26	CECT 8660	1639882	
Pelagimonas varians	DSM 23678	30	CECT 8663	696760	GCA_900185055.1; GCA_003208435.1
Vibrio gallicus	DSM 16639	26	CECT 8664	190897	
Vibrio xuii	DSM 17185	26	CECT 8665	170661	GCA_001274855.1
Lactococcus lactis	GE2-14	30	CECT 8666	1358	GCA_000731635.1
Nocardia sienata	HCUV-409665	37	CECT 8667	248552	
Weissella uvarum	B18NM42	30	CECT 8668	1479233	
Pedobacter silvilitoris	W-WS1	30	CECT 8669	1527678	
Polaribacter undariae	W-BA7	26	CECT 8670	1574269	
Lacinutrix undariae	W-BA8	26	CECT 8671	1639656	
Halorhabdus rudnickae	WSM-64	40	CECT 8673	1775544	
Halorhabdus rudnickae	WSM-66	40	CECT 8674	1775544	
Neolewinella lacunae	HME9359	26	CECT 8679	1517758	GCA_014349155.1
Gracilimonas sp	HME9573	37	CECT 8680	-1	
Gracilimonas sp	HME9591	37	CECT 8681	-1	
Gracilimonas sp	HME9599	37	CECT 8682	-1	
Wenyingzhuangia sp	HMF2266	26	CECT 8684	-1	
Roseovarius sp	HMF2302	26	CECT 8686	-1	
Marinobacter sp	HMF2338	26	CECT 8688	-1	
Pedobacter sp	HMF2560	30	CECT 8689	-1	
Pseudomonas endophytica	BSTT44	30	CECT 8691	1563157	GCA_001411475.1
Erwinia endophytica	BSTT30	30	CECT 8692	1563158	
Fontibacillus solani	A4STR04	30	CECT 8693	1572857	
Pseudomonas coleopterorum	Esc2Am	26	CECT 8695	1605838	GCA_900105555.1
Mycobacterium kansasii	HCUV-344952	37	CECT 8701	1768	
Elizabethkingia anophelis	HCUV-461331	37	CECT 8703	1117645	
Mycolicibacter arupensis	HCUV-407326	37	CECT 8706	342002	
Promicromonospora kermanensis	DSM 45485	30	CECT 8709	1521328	
Kribbella sp	DSM 45483	30	CECT 8711	-1	
Nocardiopsis algeriensis	DSM 45462	30	CECT 8712	1478215	GCF_014203695; 
Grimontia marina	KCTC 22666	30	CECT 8713	646534	GCA_900060185.1
Vibrio splendidus	KCTC 32085	26	CECT 8714	29497	GCA_900089845.1
Ruegeria arenilitoris	KCTC 23960	30	CECT 8715	1173585	GCA_900185035.1
Neptunomonas phycophila	SYM1	30	CECT 8716	1572645	GCA_001922575.1
Delftia lacustris	HCUV-411738	30	CECT 8718	558537	
Klebsiella oxytoca	HCUV-468007	37	CECT 8719	571	
Mycobacterium frederiksbergense	HCUV-403851	37	CECT 8720	-1	
Bordetella pertussis	HCUV-466199	37	CECT 8721	520	
Labrenzia sp	M14	26	CECT 8722	-1	
Vibrio panuliri	CAIM 1255	26	CECT 8723	1381081	
Pseudoseohaeicola caenipelagi	BS-W13	26	CECT 8724	1619507	
Pedobacter lignilitoris	W-WS13	26	CECT 8725	1655432	
Pseudohalocynthiibacter aestuariivivens	BS-W9	26	CECT 8726	1591409	
Anoxynatronum buryatiense	Su22	30	CECT 8731	489973	
Legionella pneumophila	NCTC 12821	37	CECT 8734	446	
Pseudomonas aeruginosa	NCTC 12951	37	CECT 8735	287	
Escherichia coli	NCTC 10279	37	CECT 8736	562	
Streptococcus pneumoniae	NCTC 12977	37	CECT 8737	1313	
Haemophilus influenzae	NCTC 12699	37	CECT 8738	727	
Halolamina sediminis	halo-7	37	CECT 8739	1480675	GCA_001282785.1
Streptococcus uberis	GP1037	37	CECT 8740	1349	
Escherichia coli	GN2514	37	CECT 8741	562	
Pasteurella multocida	P-813	37	CECT 8742	747	
Actinobacillus pleuropneumoniae	17/06L	37	CECT 8743	715	
Eudoraea sp	CAU 1296	30	CECT 8744	-1	
Halorubrum halodurans	Cb34	37	CECT 8745	1383851	GCA_002252985.1
Halorubrum ezzemoulense	Fb21	37	CECT 8746	337243	GCA_002252865.1
Halovenus salina	ASP54	37	CECT 8749	1510225	
Mycobacterium szulgai	HCUV-467571	37	CECT 8750	1787	
Proteus mirabilis	HCUV-473668	37	CECT 8752	584	
Staphylococcus aureus	MW2	37	CECT 8753	1242971	
Streptococcus pharyngis	DICM10-00796B	37	CECT 8754	-1	
Planococcus faecalis	pang	20	CECT 8759	1598147	GCA_001856115.1
Mycobacterium sp	DSM 762	30	CECT 8760	-1	
Mycobacterium sp	DSM 6695	30	CECT 8761	-1	
Mycobacterium smegmatis	DSM 43080	37	CECT 8762	-1	
Mycobacterium lehmannii	DSM 43219	37	CECT 8763	2048550	GCA_002245535.1
Mycobacterium chitae	DSM 43238	37	CECT 8764	-1	
Mycobacterium kansasii	DSM 43529	37	CECT 8765	1768	
Mycobacterium neumannii	DSM 43532	37	CECT 8766	2048551	GCA_002245615.1
Mycobacterium sp	DSM 43533	37	CECT 8767	-1	
Mycobacterium aurum	DSM 43538	37	CECT 8768	-1	
Mycobacterium terrae	DSM 43540	37	CECT 8769	-1	
Mycolicibacterium gilvum	DSM 43548	37	CECT 8770	1804	
Mycobacterium senegalense	DSM 43654	37	CECT 8771	-1	
Mycobacterium mucogenicum	DSM 44124	37	CECT 8772	-1	
Mycobacterium sp	DSM 44168	43	CECT 8773	-1	
Mycobacterium sp	DSM 44303	37	CECT 8774	-1	
Mycobacterium eburneum	DSM 44358	37	CECT 8775	2035343	
Mycobacterium sp	DSM 44427	37	CECT 8777	-1	
Mycobacterium neglectum	DSM 44756	26	CECT 8778	242737	GCA_002591975.1
Mycobacterium palauense	DSM 44914	30	CECT 8779	2034511	GCA_002592005.1
Mycobacterium sp	DSM 45202	30	CECT 8780	-1	
Mycobacterium alsense	DSM 45230	37	CECT 8782	324058	
Mycobacterium sp	DSM 45590	30	CECT 8783	-1	
Mycobacterium szulgai	DSM 45836	37	CECT 8784	1787	
Mycobacterium sp	DSM 46626	30	CECT 8785	-1	
Mycobacterium sp	DSM 46638	37	CECT 8786	-1	
Mycobacterium sp	DSM 46793	30	CECT 8787	-1	
Mycobacterium sp	DSM 46794	30	CECT 8788	-1	
Mycobacterium sp	DSM 46795	30	CECT 8789	-1	
Silvibacterium bohemicum	S15	26	CECT 8790	1577686	GCA_001006305.1
Terracidiphilus gabretensis	S55	26	CECT 8791	1577687	GCA_001449115.1
Halosiccatus urmianus	DC8	37	CECT 8793	1586233	
Streptomyces sp	CECT 3279	30	CECT 8797	-1	
Vibrio crassostreae	LMG 22240	26	CECT 8798	246167	GCA_001048535.1
Microbulbifer rhizosphaerae	Cs16b	37	CECT 8799	1562603	GCF_014191725 
Herbinix hemicellulosilytica	T3/55	55	CECT 8801	1564487	GCA_002904165.1
Lactobacillus insicii	TMW 1.2011	30	CECT 8802	-1	GCA_003946015.1
Limibacillus halophilus	CAU 1121	30	CECT 8803	1579333	
Sphingomonas vulcanisoli	SN6-13	26	CECT 8804	1658060	GCF_011761305 
Cohnella collisoli	NKM-5	26	CECT 8805	1658061	
Aliiroseovarius pelagivivens	GYSW-22	26	CECT 8811	1639690	GCA_900302485.1
Pontivivens insulae	GYSW-23	26	CECT 8812	1639689	GCA_900302495.1
Pseudoseohaeicola sp	GJSW-133	26	CECT 8813	-1	
Streptomyces violaceus	DSM 40082	30	CECT 8814	1936	GCA_000715635.1
Neorhizobium sp	B24	30	CECT 8815	-1	
Labrenzia salina	Cs25	26	CECT 8816	-1	
Microvirga sp	Hv12	26	CECT 8817	-1	
Kocuria sp	Hv16	26	CECT 8818	-1	
Actinopolyspora sp	H259	30	CECT 8819	-1	
Geodermatophilus sabuli	BMG 8133	37	CECT 8820	1564158	GCA_900215145.1
Geodermatophilus bullaregiensis	BMG 841	26	CECT 8821	1564160	
Geodermatophilus aquaeductus	BMG 801	26	CECT 8822	1564161	
Blastococcus colisei	BMG 822	26	CECT 8823	1564162	
Paenibacillus periandrae	PM10	26	CECT 8827	1761741	
Vibrio mexicanus	CAIM 1540	26	CECT 8828	1004326	GCA_001012815.1
Roseovarius aquimarinus	CAU 1059	37	CECT 8831	1229156	
Clostridium amygdalinum	CA1	30	CECT 8833	-1	
Clostridium celerecrescens	07	30	CECT 8834	-1	
Aeromonas sp	1086C	30	CECT 8838	-1	
Nocardia donostiensis	236673	37	CECT 8839	1538463	
Streptosporangium saharense	DSM 46743	30	CECT 8840	1706840	GCF_014203715; 
Actinomadura algeriensis	DSM 46744	30	CECT 8841	1679523	
Actinomadura adrarensis	DSM 46745	30	CECT 8842	1819600	
Pseudomonas sp	Ps 1	26	CECT 8843	-1	
Modestobacter lapidis	MON 3.1	30	CECT 8844	1608613	
Modestobacter muralis	MDVD1	30	CECT 8845	1608614	
Micromonospora luteifusca	GUI2	26	CECT 8846	709860	
Bradyrhizobium sp	CECT 4448	26	CECT 8847	-1	
Listeria innocua	SA1	37	CECT 8848	1642	
Enterococcus faecium	LJx4	37	CECT 8849	1352	
Helicobacter sp	2005/566H	37	CECT 8850	-1	GCA_003670295.1
Vibrio tapetis	QL-9T	18	CECT 8851	52443	GCF_900233005.1
Vibrio bivalvicida	605	26	CECT 8855	1276888	GCA_001399455.2
Vibrio bivalvicida	194	26	CECT 8856	1276888	
Roseovarius sp	HMF2641	30	CECT 8857	-1	
Emticicia aquatica	HMF2925	26	CECT 8858	1681835	
Tabrizicola sp	HMF3009	20	CECT 8860	-1	
Polaribacter lacunae	HMF2268	20	CECT 8862	1517763	
Dokdonia sp	HMF2319	26	CECT 8863	-1	
Paenirhodobacter sp	MME-103	30	CECT 8864	-1	GCA_001639985.1
