Name	ncbiTaxID	Superkingdom	Phylum	Class	Order	Family	Ecosystem	Environment	Energy Source	Metabolism	Extended Metabolism	Ion for Chemiosmosis	Oxygen Requirement	Min. pH	Max. pH	Avg. Opt. pH	Min. Temp. (°C)	Max. Temp. (°C)	Temp	Pressure for Opt. Temp. (kpa)	Optimum Pressure (Mpa) 	Avg. Opt. salinity (%)	Note	Source	Additional_source	Strain	Genus
Marinithermofilum abyssi	1571185	Bacteria	Firmicutes	Bacilli	Bacillales	Thermoactinomycetaceae	Aquatic	Marine sediment									35	65	57,5					https://pubmed.ncbi.nlm.nih.gov/25957053/			Marinithermofilum
Moorella thermoacetica	637000167	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Animal	Horse manure	Chemolithotroph	fermentation,thiosulfate-reduction,nitrate-reduction,nitrite-reduction	Utilizes glucose, fructose, xylose, H2, CO, Methanol, ethanol, n-propanol, n-butanol, Formate, oxalate, glyoxylate, glycolate, pyruvate, lactate, and several methoxylated ad aromic compounds.		Anaerobe	5,7	7,7	6,8	45	65	57,5				formerly known as Clostridium thermoaceticum	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC373636/		ATCC 39073	Moorella
Thermosynechococcus elongatus	637000320	Bacteria	Cyanobacteria	Cyanobacteria	Synechococcales	Synechococcaceae	Aquatic	Hot spring	Photoautotroph	photosynthesis,photoreduction,aerobic respiration			Aerobe				30	65	57					https://www.ncbi.nlm.nih.gov/pmc/articles/PMC451613/		BP-1	Thermosynechococcus
Defluviitoga tunisiensis	1006576	Bacteria	 Thermotogae	 Thermotogae	Petrotogales	 Petrotogaceae	Bioreactor	Whey Digester	Chemoorganotroph	fermentation	 Yeast extract required for growth. Arabinose, cellobiose, fructose, galactose, glucose, lactose, maltose, mannose, raffinose, ribose, sucrose, xylose, microcrystalline cellulose, xylan and yeast extract are used as electron donors, but not mannitol, Casamino acids, peptone, acetate, lactate, fumarate, pyruvate, succinate, ethanol, H2/CO2 or formate. Acetate, H2 and CO2 are the end products of glucose fermentation. 		Anaerobe	6,7	7,9	6,9	37	65	55	202		0,005		https://pubmed.ncbi.nlm.nih.gov/21828011/			Defluviitoga
Alicyclobacillus sendaiensis	192387	Bacteria	Firmicutes	Bacilli	Bacillales	Alicyclobacillaceae	Terrestrial	Soil sediment	Heterotroph	polysaccharide metabolism,aerobic respiration	Positive in the Voges–Proskauer reaction and the nitrate-reduction test, but negative in the oxidation/fermentation test and for H2S production, catalase, oxidase, arginine dihydrolase, lysine decarboxylase, ornithine decarboxylase, tryptophan deaminase, β-galactosidase and urease.		Aerobe	2,5	6,5	5,5	40	65	55	101		<4%		https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.02409-0#tab2			Alicyclobacillus
Alicyclobacillus vulcanalis	252246	Bacteria	Firmicutes	Bacilli	Bacillales	Alicyclobacillaceae	Aquatic	Hot spring	Heterotroph	polysaccharide metabolism,aerobic respiration	Produces acid from glycerol, l-arabinose, ribose, d-xylose, galactose, d-glucose, d-fructose, d-mannose, inositol, mannitol, cellobiose, maltose, melibiose, sucrose, trehalose, d-raffinose, glycogen and d-turanose, but not from d-arabinose, l-xylose, adonitol, methyl β-xyloside, l-sorbose, rhamnose, sorbitol, dulcitol, methyl α-d-mannoside, N-acetylglucosamine, amygdalin, aesculin, salicin, lactose, inulin, melezitose, starch, xylitol, β-gentiobiose, d-lyxose, d-tagalose, d-fucose, l-fucose, d-arabitol, l-arabitol, gluconate and 2-ketogluconate.		Aerobe	2	6	4	35	65	55	101		0,02		https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.03012-0#tab2			Alicyclobacillus
Kyrpidia tusciae	646564511	Bacteria	Firmicutes	Bacilli	Bacillales	Alicyclobacillaceae	Aquatic	Solfataric field	Chemolithoautotroph 	nitrate-reduction,aerobic respiration	Cannot grow anaerobically with nitrate. Nitrate reduced to nitrite. Either chemolithoautotrophic, using H2 as the electron donor and CO2 as the carbon source, or chemoorganoheterotrophic. A few organic acids, amino acids and alcohols can serve as sole carbon sources, with ammonium ions as the nitrogen source. Sugars not metabolized. Ammonium ions, urea and asparagine utilized as sole nitrogen sources. Dinitrogen not fixed under microaerophilic conditions.		Aerobe	3,5	6	4,5	35	65	55			0	formerly Bacillus tusciae	https://link.springer.com/article/10.1007%2FBF00408386		T2, DSM 2912	Kyrpidia
Bellilinea caldifistulae	360411	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Bioreactor	Sludge Digester	Chemoorganotroph	fermentation	Yeast extract is required for growth. In the presence of 0.01 % yeast extract, growth is observed with the following substrates: ribose, arabinose, fructose, glucose, galactose, mannose, sucrose, raffinose and pectin. Weak growth occurs with the following substrates with medium supplemented with 0.01 % yeast extract: Casamino acids, tryptone, peptone, xylose and xylan. The following substrates are not utilized in the presence of yeast extract: crotonate, H2/CO2 plus acetate, betaine, lactate, glycerol, fumarate, acetate, propionate, butyrate, malate, succinate, ethanol, methanol, 1-propanol, starch, ethylene glycol, hydroquinone, phenol, benzoate and formate plus acetate. None of following compounds is utilized as an electron acceptor: sulphate, sulphite, thiosulphate, elemental sulphur, nitrate, fumarate and Fe(III) NTA.		Anaerobe	6	7,5	7	45	65	55			<3%		https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.65098-0#tab2			Bellilinea
Geobacillus uzenensis	129339	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Aquatic	Oil field 	Chemorganotroph	nitrate-reduction,aerobic respiration	Acid but no gas is produced from arabinose, cellobiose, galactose, glycerol, maltose, mannitol, mannose, ribose and trehalose. No acid is produced from adonitol, inositol, raffinose, rhamnose, sorbitol or xylose. Utilizes as carbon and energy sources hydrocarbons (C10–C16), methane–naphthenic and naphthenic–aromatic oil, acetate, propionate, butyrate, pyruvate, benzoate, phenylacetate, phenol, ethanol, butanol, malate, lactate, fumarate, succinate, peptone, tryptone, nutrient broth, potato agar and yeast extract. Nitrate is reduced to nitrite. Does not grow autotrophically on H2 ­CO2 . Gelatin, starch and aesculin are hydrolyzed. Phenylalanine is not deaminated, Fe is not reduced, casein is not hydrolyzed and urea and tyrosine are not decomposed. H2S, indole and dihydroxyacetone are not produced.		Aerobe	6,2	7,8	7,5	45	65	55	101				https://link.springer.com/article/10.1007/s003000050034			Geobacillus
Bacillus aeolius	203540	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Aquatic	Hot spring									37	65	55					https://www.sciencedirect.com/science/article/abs/pii/S0723202004701769			Bacillus
Bacillus borbori	1245521	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Aquatic	Geothermally heated biofilm									30	65	55					https://pubmed.ncbi.nlm.nih.gov/23896693/			Bacillus
Litorilinea aerophila	1204385	Bacteria	Chloroflexi	Caldilineae	Caldilineales	Caldilineaceae	Aquatic	Hot spring	Chemoorganotroph	polysaccharide metabolism,aerobic respiration	Grows on glucose, sucrose, fructose, galactose, maltose, mannose, raffinose, arabinose, fucose, ribose, xylose, mannitol, starch, peptone, tryptone and yeast extract, but does not grow on lactate, succinate, pyruvate, glutamine, serine, alanine, Casamino acids, glycerol, ethanol, alginate or xylan		Aerobe	6,5	9	7	40	65	55			0,005		https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.044115-0#tab2			Litorilinea
Caldilinea tarbellica	133453	Bacteria	Chloroflexi	Caldilineae	Caldilineales	Caldilineaceae	Aquatic	Hot Aquifer	Chemoorganotroph	fermentation	Uses ribose, maltose, glucose, galactose, arabinose, fructose, mannose, sucrose, raffinose, xylose, glycerol, fumarate, peptone, starch and xylan, but not lactate, acetate, malate, succinate, pyruvate, formate, ethanol, Casamino acids or H2. Glucose is fermented into succinate, lactate, acetate, CO2 and traces of H2. 		Anaerobe	6,8	7,8	7	43	65	55			0		https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.025676-0#tab2			Caldilinea
Caldilinea aerophila	2540341085	Bacteria	Chloroflexi	Caldilineae	Caldilineales	Caldilineaceae	Bioreactor	Sludge blanket reactor	Chemoorgantroph	sulfate reduction,iron-reduction	Yeast extract is required for growth. In the presence of yeast extract, growth and substrate utilization could be observed with the following substrates: glucose, tryptone, sucrose, maltose, raffinose, starch, glycerol, acetate, pyruvate, lactate, succinate, fumarate and glutamate. The following substrates are not utilized in the presence of yeast extract: mannose, fructose, arabinose, xylose, ribose, ethanol, formate, malate, alanine, serine and Casamino acids		Facultative Anaerobe	7	9	7,75	37	65	55	101				https://pubmed.ncbi.nlm.nih.gov/14657113/		STL-6-O1, DSM 14535	Caldilinea
Coprothermobacter platensis	1259795	Bacteria	Coprothermobacterota	Coprothermobacteria	Coprothermobacterales	Coprothermobacteraceae	Bioreactor	Sludge blanket reactor	Chemoorganotroph	fermentation	Proteolytic. Ferments gelatin, casein, bovine albumin, peptone and yeast extract. Glucose, fructose, sucrose, maltose and starch are poorly fermented. Fermentation products from glucose are acetate, H, and CO,. The major fermentation products from gelatin are acetate, propionate, H, and CO,. Growth on glucose is stimulated by thiosulfate, which is reduced to sulfide. Sulfate and nitrate are not reduced		Anaerobe	4,3	8,3	7	35	65	55	101		0		https://pubmed.ncbi.nlm.nih.gov/9828430/			Coprothermobacter
Calditerrivibrio nitroreducens	649633026	Bacteria	Deferribacteres	Deferribacteres	Deferribacterales	Deferribacteraceae	Aquatic	Hot spring	Chemoorganoheterotroph	nitrate-reduction 	Nitrate is the only electron acceptor utilized, with ammonium as the end product. Elemental sulfur, sulfate, sulfite, nitrite, iron (III) oxide, manganese (IV) oxide, selenate, selenite, arsenate, arsenite, fumarate and oxygen are not used as alternative electron acceptors. Acetate, pyruvate, lactate, fumarate, succinate, malate, yeast extract, peptone and Casamino acids are utilized as electron donors with nitrate as the electron acceptor. Fermentative growth is not observed.		Anaerobe	5,5	8	7,25	30	65	55	150		0	neutroph	https://pubmed.ncbi.nlm.nih.gov/18599715/		Yu37-1, DSM 19672	Calditerrivibrio
Geothermobacter ehrlichii	213224	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Geobacteraceae	Aquatic	Hydrothermal vent									35	65	55					https://pubmed.ncbi.nlm.nih.gov/12732575/			Geothermobacter
Cellulosibacter alkalithermophilus	630405	Bacteria	Firmicutes	Clostridia	Clostridiales	Hungateiclostridiaceae	Terrestrial	Soil sediment									50	65	55					https://pubmed.ncbi.nlm.nih.gov/22140158/			Cellulosibacter
Hydrogenimonas thermophila	223786	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Hydrogenimonaceae	Aquatic	Hydrothermal vent									35	65	55					https://pubmed.ncbi.nlm.nih.gov/14742455/			Hydrogenimonas
Hydrogenophilus islandicus	545536	Bacteria	Proteobacteria	Hydrogenophilalia	Hydrogenophilales	Hydrogenophilaceae	Aquatic	Hot spring									35	65	55					https://pubmed.ncbi.nlm.nih.gov/20228213/			Hydrogenophilus
Kallotenue papyrolyticum	1325125	Bacteria	Chloroflexi	Chloroflexia	Kallotenuales	Kallotenuaceae	Industrial	Corn Stover	Chemoorganotroph	polysaccharide metabolism,aerobic respiration	The following substrates support growth: glucose, sucrose, xylose, arabinose, cellobiose, CM-cellulose, filter paper, microcrystalline cellulose, xylan, starch, Casamino acids, tryptone, peptone, yeast extract, acetate, citrate, lactate, pyruvate and glycerol		Aerobe	5	9	7,5	45	65	55	101		0,01		https://pubmed.ncbi.nlm.nih.gov/23950149/			Kallotenue
Herbinix luporum	1679721	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Bioreactor	Thermophilic biogas plant									40	65	55					https://pubmed.ncbi.nlm.nih.gov/27453473/			Herbinix
Methanoculleus thermophilus	2200	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanomicrobiaceae	Terrestrial	Soil sediment	Lithotroph	methanogenesis 		Na+	Anaerobe	6,18	7,82	7	37	65	55	200		0,015		https://pubmed.ncbi.nlm.nih.gov/18557787/			Methanoculleus
Methanothrix thermoacetophila	639633038	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosaetaceae	Bioreactor	Digester sludge 	Chemorganotroph	methanogenesis 		Na+	Anaerobe	6,1	7,5	6,7	35	65	55	101		0		https://www.microbiologyresearch.org/docserver/fulltext/ijsem/42/3/ijs-42-3-463.pdf?expires=1613489299&id=id&accname=guest&checksum=DF35B67180C81AACCAE917933CB5D96C		PT	Methanothrix
Caminibacter profundus	217041	Bacteria	Proteobacteria	Epsilonproteobacteria	Nautiliales	Nautiliaceae	Aquatic	Hydrothermal vent									45	65	55					https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.02753-0			Caminibacter
Nautilia nitratireducens	646273	Bacteria	Proteobacteria	Epsilonproteobacteria	Nautiliales	Nautiliaceae	Aquatic	Hydrothermal vent									25	65	55					https://pubmed.ncbi.nlm.nih.gov/19667392/			Nautilia
Nitratiruptor sp	640753037	Bacteria	Proteobacteria	Epsilonproteobacteria	Nautiliales	Nitratiruptoraceae	Aquatic	Hydrothermal vent	Chemolithoautotroph 	nitrate-reduction,aerobic respiration	genome encodes for all of the genes of the reductive tricarboxylic acid cycle for CO2 fixation and provide the genetic basis for their versatile respiration, including gene clusters for hydrogenases, sulfur-compounds oxidation system (sox), and denitrification (sequential reduction of nitrate to dinitrogen) pathway		Aerobe				37	65	55					https://pubmed.ncbi.nlm.nih.gov/17615243/		SB155-2	Nitratiruptor
Brevibacillus aydinogluensis	927786	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Aquatic	Hot spring									35	65	55					https://pubmed.ncbi.nlm.nih.gov/21622837/			Brevibacillus
Pelotomaculum thermopropionicum	640427128	Bacteria	Firmicutes	Clostridia	Clostridales	Peptocpccaceae	Bioreactor	Sludge blanket reactor	Chemoorganotroph	fermentation,propionate-oxidation	The strain could grow fermentatively on pyruvate and fumarate in pure culture. The strain grew on propionate, ethanol, lactate, 1-butanol, 1-pentanol, 1,3-propanediol, 1-propanol and ethylene glycol in co-culture with the hydrogenotrophic methanogen Methanothermobacter thermautotrophicus strain deltaH(T)		Anaerobe	6,7	7,5	7	45	65	55			0,002		https://pubmed.ncbi.nlm.nih.gov/12361280/		SI	Pelotomaculum
Marinitoga camini	106262	Bacteria	Thermotogae	Thermotogae	Petrotogales	Petrotogacceae	Aquatic	Hydrothermal vent	Chemoorganotroph	fermentation,sulfur-reduction	Able to ferment gluten, BHI, peptone, tryptone, sucrose, glucose, fructose, maltose and cellobiose in the presence of yeast extract. CO# , H# , acetate, isovalerate and isobutyrate are formed during glucose fermentation		Anaerobe	5	9	7	25	65	55	101		0,02		https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/00207713-51-2-495			Marinitoga
Petrotoga mexicana	204046	Bacteria	Thermotogae	Thermotogae	Petrotogales	Petrotogacceae	Aquatic	Oil well	Organoheterotroph	fermentation,sulfur-reduction,sulfite-reduction,thiosulfate-reduction	Ferments d-arabinose, cellobiose, fructose, galactose, glucose, lactose, maltose, mannose, raffinose, rhamnose, ribose, starch, sucrose, xylose, xylan and pyruvate. The xylanase activity is endocellular. Glucose is fermented into acetate, lactate, H2 and CO2, with l-alanine as a minor end product. Casamino acids and peptone are used in the presence of thiosulfate. Acetate, butyrate, formate, fumarate, lactate, malate, butanol, methanol, propanol, methylamine, trimethylamine and H2 are not used. Uses elemental sulfur, thiosulfate and sulfite but not sulfate, fumarate, nitrate or nitrite as electron acceptors.		Anaerobe	5,8	8,5	6,6	25	65	55	200		0,03	xylanolytic	https://pubmed.ncbi.nlm.nih.gov/14742476/			Petrotoga
Petrotoga miotherma	28237	Bacteria	Thermotogae	Thermotogae	Petrotogales	Petrotogacceae	Aquatic	Oil reservoir	Organoheterotroph	fermentation,sulfate-reduction	"Able to use mannose, starch, maltodextrins, glucose, lactose, sucrose, galactose, and maltose. In addition, Petrotoga miotherma was able
to use xylose. The bacteria was not able to utilize raffinose, ethanol, lactate, casamino acids, acetate, and formate. "		Anaerobe	5,5	9	6,5	35	65	55			0,02		https://www.sciencedirect.com/science/article/abs/pii/S0723202011804674			Petrotoga
Caenibacillus caldisaponilyticus	1674942	Bacteria	Firmicutes	Bacilli	Bacillales	Sporolactobacillaceae	Terrestrial	Compost heap									40	65	55					https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijsem.0.001108			Caenibacillus
Symbiobacterium ostreiconchae	471799	Bacteria	Firmicutes	Clostridia	Clostridiales	Symbiobacteriaceae	Animal	Shellfish									50	65	55					https://pubmed.ncbi.nlm.nih.gov/25013225/			Symbiobacterium
Acetomicrobium hydrogeniformans	649746	Bacteria	Synergistetes	Synergistia	Synergistales	Synergistaceae	Industrial 	Oil production fluid	Chemoorganotroph	fermentation	Sulfate, sulfite or nitrate are not reduced. Crotonate is reduced to butyrate when glucose is present. Growth occurs on d-fructose, d-glucose, maltose, d-mannose, α-ketoglutarate, l-glutamate, malonate, pyruvate, l-tartrate, l-asparagine, Casamino acids, l-cysteine, l-histidine, l-leucine, l-phenylalanine, l-serine, l-threonine, l-valine, inositol, inulin, tryptone and yeast extract. d-Arabinose, CM-cellulose, cellulose, cellobiose, d-galactose, lactose, melibiose, raffinose, d-rhamnose, sucrose, d-xylose, acetate, butyrate, citrate, fumarate, d-gluconate, lactate, l-malate, oleate, succinate, l-arginine, l-aspartate, l-glutamine, glycine, l-isoleucine, l-lysine, l-methionine, l-proline, l-tryptophan, l-tyrosine, adonitol, glycerol, dextrin, gelatin, pectin, starch and xylan do not support growth.		Anaerobe	6	9	7	40	65	55	101		0,01	formerly Anaerobaculum hydrogeniformans	https://pubmed.ncbi.nlm.nih.gov/21602364/			Acetomicrobium
Meiothermus silvanus	646564546	Bacteria	Deinococcus-Thermus	Deinococci	Thermales	Thermaceae	Aquatic	Hot spring	Chemoorganoheterotroph	nitrate-reduction,aerobic respiration	Nitrate is reduced to nitrite. cu-Galactosidase negative and P-galactosidase positive. Casein, elastin, gelatin, hide powder azure, and starch are degraded. Hydrolysis of fibrin is weak or negative. Strain VI-R2 utilizes D-glucose, D-fructose, D-mannose, Dgalactose, D-xylose, maltose, lactose, D-melibiose, glycerol, Dmannitol, D-sorbitol, ribitol, pyruvate, L-glutamate, L-asparagine, L-serine, L-glutamine, and L-proline. Strain VI-R2T does not utilize L-arabinose, L-rhamnose, sucrose, D-cellobiose, Dtrehalose, D-raffinose, meso-erythritol, galactitol, myo-inositol, acetate, succinate, citrate, salicin, or acetamide.		Aerobe	5,5	9,5	8,25	40	65	55			<1%	Also known as Thermus silvanus	https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/00207713-45-4-633		VI-R2, DSM 9946	Meiothermus
Thermus silvanus	526227	Bacteria	Deinococcus-Thermus	Deinococci	Thermales	Thermaceae	Aquatic	Hot spring	Heterotroph	nitrate-reduction,aerobic respiration	All strains are oxidase positive and catalase negative. Nitrate is reduced to nitrite. cu-Galactosidase negative and P-galactosidase positive. Casein, elastin, gelatin, hide powder azure, and starch are degraded. Hydrolysis of fibrin is weak or negative. Strain VI-R2 utilizes D-glucose, D-fructose, D-mannose, Dgalactose, D-xylose, maltose, lactose, D-melibiose, glycerol, Dmannitol, D-sorbitol, ribitol, pyruvate, L-glutamate, L-asparagine, L-serine, L-glutamine, and L-proline. Strain VI-R2T does not utilize L-arabinose, L-rhamnose, sucrose, D-cellobiose, Dtrehalose, D-raffinose, meso-erythritol, galactitol, myo-inositol, acetate, succinate, citrate, salicin, or acetamide.		Aerobe	6	9	8	40	65	55	101				https://pubmed.ncbi.nlm.nih.gov/7547281/			Thermus
Laceyella sediminis	573074	Bacteria	Firmicutes	Bacilli	Bacillales	Thermoactinomycetaceae	Aquatic	Hot spring									28	65	55					https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.028282-0			Laceyella
Thermogemmatispora carboxidivorans	1382306	Bacteria	Chloroflexi	Ktedonobacteria	 Thermogemmatisporales	Thermogemmatisporaceae	Aquatic	Geothermally heated biofilm	Heterotroph	fermentation	Grows under microaerophilic conditions. Catalase-positive. Positive for nitrate-reduction, aesculin hydrolysis, gelatinase and bgalactosidase. Negative for indole production from tryptophan, arginine dihydrolase, fermentation and urease.  Oxidizes CO. Grows with gluconate, pyruvate, glycerol, alanine, glutamate, aspartate, glucose, mannose, lactose, sucrose, methanol, ethanol and acetone, but not with propionate, malonate, tartrate, lactate, acetate, fumarate, malate, succinate, mannitol, glycine, valine, proline, serine, methylamine, dimethylamine, trimethylamine, betaine, galacturonate, 2-propanol, glycolate, citrate, inositol, arabinose, fructose, galactose, ribose, xylose, rhamnose or glucuronate.		Microaerobe	4,1	8	6	40	65	55	101		0		https://pubmed.ncbi.nlm.nih.gov/24425739/			Thermogemmatispora
Albidovulum xiamenense	990712	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Aquatic	Hot spring									28	65	54					https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.034454-0			Albidovulum
Hippea maritima	2504136000	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfurellales	Desulfurellaceae	Aquatic 	Hydrothermal vent	Lithoautotroph	sulfur-reduction	Metabolize by reduction of elemental sulfur. Growth substrates are H2/CO2 acetate, stearate and palmitate. Weak growth on fumarate. Some strains are able to utilize ethanol. No growth with formate, propionate, butyrate, pyruvate, lactate, succinate, glucose, starch, peptone, methanol or hexadecane. Elemental sulfur is required for growth and cannot be substituted for by thiosulfate, sulfate, sulfite, fumarate, cystine, nitrate or ferric iron. Growth products are CO2 and H2S. Yeast extract (0-02 YO w/v) is required for growth.		Anaerobe	5,4	6,5	6	40	65	53			0,0275		https://pubmed.ncbi.nlm.nih.gov/10425760/		MH2, DSM 10411	Hippea
Thermodesulfobium narugense	2504756006	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	 Thermodesulfobiaceae	Aquatic	Hot spring	Chemoautotroph	sulfate-reduction	Sulfate, thiosulfate, nitrate, and nitrite are used as electron acceptors, but not sulfite, elemental sulfur, Fe(III), fumarate, dimetyl sulfoxide, and O2. Electron donors utilized in the presence of sulfate are H2 and formate. No growth occurs with glucose, acetate, lactate, pyruvate, malate, propionate, butyrate, fumarate, succinate, citrate, ethanol, propanol, or methanol.		Anaerobe	4	6,5	5,75	37	65	52,5	151,9		<1%		https://pubmed.ncbi.nlm.nih.gov/12910388/		Na82, DSM 14796	Thermodesulfobium
Caldisalinibacter kiritimatiensis	1304284	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Aquatic	Salt lake									45	65	52,5					https://www.tandfonline.com/doi/abs/10.1080/01490451.2013.866995			Caldisalinibacter
Caloramator coolhaasii	95159	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Bioreactor	Methanogenic  sludge									37	65	52,5					https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/00207713-50-3-1155#tab2			Caloramator
Methanoculleus receptaculi	394967	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanomicrobiaceae	Aquatic	Oil field 	Lithotroph	methanogenesis 	H2/CO2 or sodium formate as substrates for methanogenesis but not sodium acetate, trimethylamine, monomethylamine, ethanol, dimethyl sulfide, isopropanol, isobutanol, butan-2-ol or H2/CO.	Na+	Anaerobe	6,5	8,5	7,65	30	65	52,5	200		0,012		https://pubmed.ncbi.nlm.nih.gov/18557787/			Methanoculleus
Brevibacillus sediminis	1707527	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Aquatic	Hot spring									37	65	52,5					https://pubmed.ncbi.nlm.nih.gov/26556809/			Brevibacillus
Anaerobranca gottschalkii	108328	Bacteria	Firmicutes	Clostridia	Clostridiales	Proteinivoraceae	Aquatic	Lake 									30	65	52,5					https://pubmed.ncbi.nlm.nih.gov/11321091/			Anaerobranca
Thermotunica guangxiensis	1248146	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Terrestrial	Compost heap									37	65	52,5					https://pubmed.ncbi.nlm.nih.gov/24488931/			Thermotunica
Melghirimyces profundicolus	1242148	Bacteria	Firmicutes	Bacilli	Bacillales	Thermoactinomycetaceae	Aquatic	Marine sediment									37	65	52,5					https://pubmed.ncbi.nlm.nih.gov/23912721/			Melghirimyces
Thermoanaerobacterium butyriciformans	1702242	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacterales Family III. Incertae Sedis	Terrestrial	Salt mine									35	65	52,5					https://pubmed.ncbi.nlm.nih.gov/28057375/			Thermoanaerobacterium
Thermomonospora catenispora	2493090	Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Thermomonosporaceae	Terrestrial	Compost heap (mushrooms)									37	65	52,5					https://pubmed.ncbi.nlm.nih.gov/31180315/			Thermomonospora
Tepidimonas ignava	114249	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales		Aquatic	Hot spring									35	65	52,5					https://pubmed.ncbi.nlm.nih.gov/10758883/			Tepidimonas
Thiomonas thermosulfata	40991	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales		Aquatic	Hot spring									34	65	51,25					https://pubmed.ncbi.nlm.nih.gov/9103643/			Thiomonas
Tepidibacillus fermentans	1281767	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Terrestrial	Underground gas storage									36	65	51					https://pubmed.ncbi.nlm.nih.gov/23881258/			Tepidibacillus
Dissulfurimicrobium hydrothermale	1750598	Bacteria	Proteobacteria	Deltaproteobacteria			Aquatic	Hydrothermal pond									30	65	51					https://pubmed.ncbi.nlm.nih.gov/26646853/			Dissulfurimicrobium
