Name	Strain	Temp	ncbiTaxID	Genome
Iodidimonas muriae	C-3	30	261467	
Nocardioides ganghwensis	JC2055	30	252230	
Fictibacillus macauensis	ZFHKF-1	30	1196324	
Bacillus stamsii	BoGlc83	30	-1	
Kordia algicida	OT-1	30	391587	
Aurantimonas litoralis	HTCC 2156 	30	217512	
Fulvimarina pelagi	HTCC2506	30	314231	
Staphylococcus nepalensis	CW1	30	214473	GCA_002442935.1
Nocardioides aromaticivorans	H-1	30	200618	
Prevotella paludivivens	KB7	30	185294	
Lentibacillus salicampi	SF-20	30	175306	
Halomonas hydrothermalis	Slthf2	30	115561	GCA_002442575.1
Paraburkholderia tropica	Ppe8	30	92647	
Paenibacillus terrae	AM141	30	159743	GCA_000235585.1
Bacillus funiculus	 NAF001	30	-1	
Ochrobactrum grignonense	OgA9a	30	-1	
Ochrobactrum tritici	 SCII24	30	-1	
Shewanella oneidensis	MR-1	30	211586	
Alcanivorax jadensis	T9	30	1177181	
Pseudoalteromonas peptidolytica	F12-50-A1	30	1315280	
Shewanella amazonensis	SB2B	30	326297	GCA_000015245.1
Nocardioides nitrophenolicus	NSP41	30	60489	
Pedomicrobium ferrugineum	IFAM S-1290	30	47497	
Desulfovibrio gabonensis	SEBR 2840	30	-1	
Methylobacter luteus	ACM 3304	30	415	
Anaerotignum neopropionicum	X4	30	36847	
Methylocystis echinoides	IMET 10491	30	29468	
Bacillus lentus	ATCC 10840	30	-1	GCA_900478165.1
Methylocystis parvus	NCIMB 11129	30	134	
Oenococcus alcoholitolerans	UFRJ-M7.2.18	30	931074	
Lactobacillus acetotolerans	ATCC 43578	30	1600	GCA_001042405.1
Paracoccus communis	S3	29	1282439	
Methylopila oligotropha	2395A	29	1282438	
Methyloligella solikamskensis	SK12	29	1177756	
Methyloligella halotolerans	C2	29	1177755	
Sedimentibacter saalensis	ZF2	37	130788	
Methanolobus vulcani	PL-12	28	38026	
Pseudonocardia tritici	NEAU-YY211	28	2670332	
Glycomyces luteolus	NEAU-A15	28	2670330	
Streptomyces xiangluensis	NEAU-LA29	28	2665720	
Promicromonospora viridis	NEAU-JGR1	28	2665664	
Nonomuraea rhizosphaerae	NEAU-mq18	28	2665663	
Paracoccus pueri	THG-N2.35	28	2665493	
Nonomuraea lycopersici	NEAU-DE8	28	2665202	
Glycomyces tritici	NEAU-C2	28	2665176	
Streptomyces flavalbus	NEAU-QY24	28	2665155	
Brevibacillus antibioticus	TGS2-1	28	2570228	
Marinobacter fonticola	CS412	28	2603215	GCA_008122265.1
Nonomuraea mangrovi	HA15826	28	2316207	
Pedobacter chitinilyticus	 CM134L-2	28	2233776	
Zhouia spongiae	HN-Y44	28	2202721	
Glycomyces dulcitolivorans	SJ-25	28	2200759	
Streptomyces triticisoli	NEAU-DSCPA1-4-4	28	2182797	
Streptacidiphilus monticola	NEAU-SW11	28	2161674	
Lentzea soli	NEAU-LZC 7	28	2126011	
Marinicaulis flavus	SY-3-19	28	2058213	
Glycomyces rhizosphaerae	NEAU-C11	28	2054422	
Streptomyces tritici	NEAU-A4	28	2054410	
Lechevalieria rhizosphaerae	NEAU-A2	28	-1	
Streptomyces aridus	H9	28	1864853	
Roseomonas hibiscisoli	THG-N2.22	28	2027873	
Rhodococcus gannanensis	M1	28	1960308	
Streptomyces solisilvae	HNM0141	28	1929477	
Oharaeibacter diazotrophicus	SM30	28	1920512	
Seonamhaeicola marinus	B011	28	1912246	
Kibdelosporangium metalli	KC 266	28	1873421	
Pseudaminobacter manganicus	JH-7	28	1873176	
Herbihabitans rhizosphaerae	CPCC 204279	28	1872711	
Lentzea chajnantorensis	H45	28	1784724	
Streptomyces gamaensis	NEAU-Gz11	28	1763542	
Enteractinococcus helveticum	UASWS1574	28	1837282	
Novimethylophilus kurashikiensis	La2-4	28	1825523	
Abyssicoccus albus	YIM M12140	28	1817405	
Massilia chloroacetimidivorans	TA-C7e	28	1822381	
Paracoccus sordidisoli	LP91	28	1798717	
Niastella hibisci	HG-YS3.2.1	28	1781166	
Muricauda lutea	CSW06	28	-1	
Pontibacter virosus	W14	28	1765052	
Verrucosispora sonchi	NEAU-QY3	28	-1	
Actinomadura gamaensis	NEAU-Gz5 	28	1763541	
Arthrobacter deserti	YIM CS25	28	1742687	
Kocuria subflava	YIM 13062 	28	1736139	
Streptomyces arcticus	ZLN234	28	1705607	
Pontibacter aurantiacus	NP1	28	1697944	
Streptomyces spongiicola	HNM0071	28	1690221	GCA_003122365.1
Roseovarius algicolus	4CoA2	28	1678842	
Umezawaea endophytica	YIM 2047X	28	1654476	
Photobacterium galatheae	S2753	28	1654360	
Rhodococcus agglutinans	CFH S0262	28	-1	
Lysobacter tolerans	UM1	28	1604334	
Plantactinospora sonchi	NEAU-QY2 	28	1544735	
Diaphorobacter polyhydroxybutyrativorans	SL-205 	28	-1	GCA_002214645.1
Rhizobium yantingense	H66 	28	-1	
Novosphingobium oryzae	ZYY112	28	1522744	
Enteractinococcus viverrae	YIM 101632	28	1521435	
Enteractinococcus lamae	YIM 101617	28	1521434	
Pseudorhizobium pelagicum	R1-200B4	28	1509405	
Stackebrandtia endophytica	YIM 64602	28	1496996	
Micromonospora harpali	NEAU-JC6	28	1490225	
Microbispora bryophytorum	NEAU-TX2-2	28	1460882	
Streptomyces maoxianensis	NEAU-Spg16	28	1459942	
Dankookia rubra	WS-10	28	1442381	
Streptomyces bohaiensis	11A07	28	1431344	
Sunxiuqinia rutila	HG677	28	1397841	
Catalinimonas niigatensis	A6F-52	28	1397264	
Noviherbaspirillum suwonense	5410S-62	28	1224511	
Hymenobacter qilianensis	DK6-37	28	1385715	
Rhizobium rosettiformans	W3	28	538378	
Roseomonas rhizosphaerae	YW11	28	1335062	
Pontibacter indicus	LP100	28	1317125	
Paenalcaligenes suwonensis	ABC02-12	28	1202713	
Cyclobacterium xiamenense	KD51	28	1297121	
Streptomyces zagrosensis	HM 1154	28	1042984	
Deinococcus carri	MA1003	28	1211323	
Streptomyces wuyuanensis	FX61	28	1196353	
Pseudomonas zhaodongensis	NEAU-ST5-21	28	-1	
Allokutzneria multivorans	YIM 120521	28	1142134	
Sphingobium boeckii	469	28	1082345	
Glycomyces artemisiae	 IXS4	28	1076443	
Pseudonocardia antitumoralis	SCSIO 01299	28	1070982	
Flavobacterium anatoliense	MK3	28	-1	
Sphingobium limneticum	301	28	1007511	
Algoriphagus trabzonensis	MS7	28	993690	
Bacillus rhizosphaerae	SC-N012	28	-1	
Pectinatus brassicae	TY	28	862415	
Massilia tieshanensis	TS3	28	796007	
Rhizobium vignae	CCBAU 05176	28	-1	
Vibrio plantisponsor	MSSRF60	28	664643	
Pseudonocardia kunmingensis	YIM 63158	28	630975	
Pedobacter namyangjuensis	5G38	28	600626	
Streptomyces sanyensis	219820	28	568869	
Massilia niastensis	5516S-1	28	544911	
Streptomonospora arabica	S186	28	412417	
Rhizobium herbae	CCBAU 83011	28	508661	
Gemmobacter nanjingensis	Y12	28	488454	
Alicyclobacillus ferrooxydans	TC-34	28	471514	
Saccharibacillus sacchari	GR21	28	456493	
Saccharopolyspora qijiaojingensis	YIM 91168	28	453831	
Sphingomonas histidinilytica	 UM2	28	-1	
Paraburkholderia soli	GP25-8	28	-1	
Lysobacter niastensis	GH41-7	28	380629	
Aureimonas altamirensis	S21B	28	370622	
Kocuria aegyptia	CCTCC AA203006	28	330943	
Myceligenerans crystallogenes	CD12E2-27	28	316335	
Oceanicola granulosus	HTCC2516	28	314256	
Nocardiopsis salina	CCTCC AA 204009	28	245836	
Azoarcus buckelii	U120	28	-1	
Nesterenkonia xinjiangensis	YIM 70097	28	225327	
Thauera phenylacetica	B4P	28	1234382	
Thauera aminoaromatica	K172	28	164330	
Dethiosulfovibrio acidaminovorans	SR15	28	133535	
Dethiosulfovibrio russensis	SR12	28	133534	
Dethiosulfovibrio marinus	WS100	28	133532	
Kocuria rhizophila	DSM11926	28	72000	GCA_000010285.1
Bacillus pseudomycoides	NRRL B-617	28	64104	
Staphylococcus succinus	AMG-D1	28	61015	GCA_001902315.1
Brevibacillus centrosporus	 ATCC 51661	28	54910	
Brevibacillus agri	ATCC 51663	28	51101	
Paenibacillus apiarius	ATCC 29575	28	46240	
Gibbsiella greigii	FRB 224	28	1510569	
Rhizobium aggregatum	IFAM 1003	28	-1	
Sporosarcina saromensis	HG645	27	359365	
Nocardioides currus	IB-3	25	2133958	
Terasakiella salincola	KMU-80	25	2053454	
Arenibacter antarcticus	R18H21	25	2040469	
Uliginosibacterium sediminicola	M1-21	25	2024550	
Pseudomonas profundi	M5	25	1981513	
Ketobacter alkanivorans	GI5	25	1917421	GCA_002863865.1
Silicimonas algicola	KC90B	25	1826607	GCA_003970735.1
Litoribrevibacter euphylliae	Eup a-2	25	1834034	
Flavobacterium arcticum	SM1502	25	1784713	GCA_003344925.1
Frigoribacterium salinisoli	LAM9155 	25	1616784	
Maritimibacter lacisalsi	X12M-4	25	-1	
Litorivivens lipolytica	HJTF-7	25	1524264	
Marinobacter aromaticivorans	D15-8P	25	1494078	
Pelagicola litorisediminis	 D1-W8	25	-1	
Marinobacter nanhaiticus	D15-8W	25	626887	
Pelagibaca abyssi	JLT2014	25	-1	GCA_001975705.1
Hydrogenophaga electricum	AR20	25	1230953	
Spirosoma metallicum	PR1014K	25	1211327	
Spirosoma aerolatum	PR1012K	25	1211326	GCA_002056795.1
Fluviimonas pallidilutea	TQQ6	25	1165102	
Mycetocola zhadangensis	ZD1-4	25	1164595	
Mucilaginibacter herbaticus	DR-9	25	1097322	
Algoriphagus zhangzhouensis	12C11	25	1073327	
Gramella aestuarii	BS12	25	1028746	
Cellulophaga geojensis	M-M6	25	935699	
Pseudoalteromonas xiamenensis	Y2	25	882626	
Arcicella rigui	NSW-5	25	797020	
Inhella fonticola	TNR-25	25	759929	
Solimonas aquatica	NAA16	25	489703	
Salinisphaera dokdonensis	CL-ES53	25	1304272	
Kiloniella laminariae	 LD81	25	454162	
Blastochloris gulmargensis	JA248	25	432296	
Salinicoccus albus	YIM-Y21	25	418756	
Sulfurimonas autotrophica	OK10	25	202747	GCA_000147355.1
Thalassospira xiamenensis	M-5	22	220697	GCA_000300235.2
Novosphingobium arvoryzae	Jyi-02	20	1256514	
Mucilaginibacter carri	PR0008K	20	1211324	
Lysobacter gummosus	UASM 402	20	262324	GCA_001442805.1
Acetobacterium carbinolicum	WoProp1	20	52690	
Hafnia psychrotolerans	DJC1-1	15	1477018	
Conyzicola nivalis	ZD5-4	14	1477021	
Devosia nitrariae	1/05/1936	38,5	2071872	
Novosphingobium piscinae	SLH-16	38,5	1507448	
Mycolicibacter algericus	TBE 500028/10	38,5	1288388	
Bacteroides luti	UasXn-3	38,5	1297750	
Petrimonas sulfuriphila	BN3	38,5	285070	
Allobaculum stercoricanis	DSM 13633	38,5	1050201	
Geovibrio thiophilus	AAFu3	38,5	139438	GCA_004087915.1
Desulfovibrio bastinii	SRL4225	38,5	-1	
Methanosphaera stadtmanae	MCB-3	38	2317	GCA_000012545.1
Halococcus sediminicola	CBA1101	37,5	1264579	
Bacillus endolithicus	JC267	37,5	-1	
Kineothrix alysoides	KNHs209	37,5	1469948	
Alkalispirochaeta sphaeroplastigenens	JC131	37,5	1187066	
Roseivivax isoporae	sw-2	37,5	591206	
Anaerotaenia torta	FH052	37,5	433293	
Tenacibaculum litoreum	CL-TF13	37,5	321269	
Marinimicrobium koreense	M9	37,5	306545	
Flaviaesturariibacter luteus	AW305	36,5	1789691	
Monoglobus pectinilyticus	14	35	1981510	
Uliginosibacterium paludis	KBP-13	35	1615952	
Defluviimonas denitrificans	D9-3	35	404881	
Pararhodobacter aggregans	D1-19	35	404875	
Clostridium hydrogeniformans	BL-20	35	349933	
Bacillus vietnamensis	115	35	-1	
Maricaulis washingtonensis	MCS 6	35	144025	
Occallatibacter savannae	A2-1c 	34,5	1002691	
Geodermatophilus arenarius	CF5/4	34	1137990	
Geodermatophilus normandii	CF5/3	32,5	1137989	
Lactococcus petauri	159469	30	1940789	GCA_009662295.1
Henriciella algicola	MCS27	30	1608422	
Woodsholea maritima	CM243	30	240237	
Maricaulis virginensis	VC-5	30	144022	
Henriciella barbarensis	MCS23	30	86342	
Brevundimonas staleyi	FWC43	30	74326	
Brevundimonas halotolerans	MSC24	30	69670	
Chryseobacterium hispalense	AG13	27,5	1453492	
Desulfonatronum cooperativum	Z-7999	36,5	292807	
Alkalispirochaeta odontotermitis	JC202	35	1329640	
Alkalispirochaeta cellulosivorans	JC227	34	1410329	
Methanocella paludicola	SANAE	36	304371	GCA_000011005.1
Methanoregula boonei	6A8	36	456442	GCA_000017625.1
Mycoplasma enhydrae	6243-11	36	2499220
Chryseomicrobium excrementi	ET03	36	2041346	
Prolixibacter denitrificans	MC1-1	36	1541063	
Limimaricola variabilis	J-MR2-Y	36	1492771	
Mariniphaga anaerophila	 Fu11-5	36	1484053	
Altererythrobacter oceanensis	Y2	36	-1	
Roseomonas wooponensis	WW53	36	-1	
Pseudooceanicola flagellatus	DY470	36	-1	
Dysgonomonas macrotermitis	Dys-CH1	36	1346286	
Pseudooceanicola antarcticus	Ar-45	36	1247613	
Alkalitalea saponilacus	SC/BZ-SP2	36	889453	GCA_002201795.1
Parabacteroides chartae	NS31-3	36	1037355	
Salinimicrobium gaetbulicola	BB-My20	36	999702	
Paenibacillus hordei	RH-N24	36	980239	
Salinisphaera orenii	MK-B5	36	856730	
Lysinibacillus xyleni	JC22	36	-1	
Algoriphagus hitonicola	 7-UAH	36	435880	
Falcatimonas natans	WN011	36	433279	
Natronincola peptidivorans	Z-7031	36	426128	
Sphingomonas jaspsi	TDMA-16	36	392409	
Denitrovibrio acetiphilus	N2460	36	118000	GCA_000025725.1
Methanomethylovorans hollandica	DMS1	35,5	101192	GCA_000328665.1
Luteimonas aestuarii	B9	35,5	453837	
Mariniphaga sediminis	SY21	35	1628158	
Marinomonas ostreistagni	UST010306-043	35	359209	
Methanobacterium paludis	SWAN1	34,5	868131	GCA_000214725.1
Terasakiella brassicae	B3	34,5	1634917	
Lactobacillus ixorae	Ru20-1	33,5	-1	
Tabrizicola fusiformis	 SY72	33,5	2161679	
Virgisporangium myanmarense	MM04-1133	33,5	1938555	
Paenibacillus aurantiacus	RC11	33,5	1936118	
Phenylobacterium deserti	YIM 73061	33,5	1914756	
Sphingobacterium humi	D1	33,5	1796905	
Seonamhaeicola algicola	Gy8	33,5	1719036	
Tenacibaculum ascidiaceicola	RSS1-6	33,5	1699411	
Lentimicrobium saccharophilum	TBC1	33,5	1678841	
Algoriphagus taiwanensis	CC-PR-82	33,5	1445656	
Paraburkholderia insulsa	PNG-April	33,5	1441714	
Pseudomonas hussainii	CC-AMH-11	33,5	-1	
Paenibacillus segetis	DB13260	33,5	1325360	
Shimia biformata	CC-AMW-C	33,5	1294299	
Gramella planctonica	CC-AMWZ-3	33,5	1294291	
Gramella oceani	CC-AMSZ-T	33,5	1294290	
Sphingomicrobium flavum	CC-AMZ-30N	33,5	1229164	
Nocardiopsis mangrovei	HA11166	33,5	1179818	
Litorisediminicola beolgyonensis	BB-MW24	33,5	1173614	
Shewanella litorisediminis	SMK1-12	33,5	1173586	
Paenibacillus taihuensis	THMBG22	33,5	1156355	
Pseudoxanthobacter liyangensis	 DDT-3	33,5	1150369	
Kangiella sediminilitoris	Mw22	33,5	1144748	GCA_001708405.1
Geobacter luticola	OSK6	33,5	-1	
Portibacter lacus	YM8-076	33,5	1099794	
Silanimonas mangrovi	AK13	33,5	1184255	
Lactobacillus modestisalitolerans	NB446	33,5	-1	
Aliidiomarina haloalkalitolerans	AK5	33,5	859059	
Echinicola shivajiensis	AK12	33,5	1035916	
Muricauda taeanensis	105	33,5	1005926	
Oceanobacillus damuensis	 PT-20	33,5	937928	
Oceanobacillus rekensis	 PT-11	33,5	937927	
Methylopila henanensis	LYBFD3-16A2	33,5	873516	
Vibrio xiamenensis	G21	33,5	861298	
Pseudoxanthomonas putridarboris	WD12	33,5	752605	
Bowmanella dokdonensis	UDC354	33,5	751969	
Chitinivorax tropicus	KL-9	33,5	714531	
Aquabacterium limnoticum	ABP-4	33,5	708634	
Paraburkholderia diazotrophica	 JPY461	33,5	667676	
Sphingomonas haloaromaticamans	A175	33,5	653954	
Cecembia lonarensis	LW9	33,5	1225176	
Sphingobacterium shayense	HS39	33,5	626343	
Indibacter alkaliphilus	LW1	33,5	1189612	
Virgibacillus byunsanensis	ISL-24	33,5	570945	
Chryseomicrobium amylolyticum	JC16	33,5	558165	
Shewanella fodinae	JC15	33,5	552357	
Oceanobacillus oncorhynchi	R-2	33,5	545501	
Arcobacter marinus	CL-S1	33,5	-1	GCA_003544855.1
Salinicola socius	SMB35	33,5	404433	
Halalkalibacillus halophilus	BH2	33,5	392827	
Pararheinheimera chironomi	K19414	33,5	358592	
Halolactibacillus halophilus	M2-2	33,5	306540	
Chitinibacter tainanensis	S1	33,5	230667	
Soehngenia saccharolytica	BOR-Y	33,5	253256	
Streptosporangium violaceochromogenes	ATCC 21807	33,5	46188	
Paracoccus thiocyanatus	IAM 12814	33,5	34006	
Floricoccus penangensis	HibF3	33,5	1859475	
Floricoccus tropicus	DF1	33,5	1859473	
Kosakonia oryzae	Ola 51 	32,5	497725	GCA_001658025.1
Phytobacter diazotrophicus	LS8	32,5	395631	
Saccharopolyspora deserti	SYSU D8010	32,5	2081980	
Ramlibacter rhizophilus	THG-YS3.2.7	32,5	1781167	
Cryptosporangium eucalypti	EURKPP3H10	32,5	1717726	
Noviherbaspirillum massiliense	JC206	32,5	1095769	
Vibrio maritimus	R-40493	32,5	990268	
Phaeocystidibacter luteus	PG2S01	32,5	911197	
Myceligenerans halotolerans	XJEEM 11063	32,5	552903	
Paracoccus chinensis	KS-11	32,5	525640	
Stenotrophomonas chelatiphaga	B-2486	32,5	517011	
Rhizobium oryzae	Alt505	32,5	-1	
Nonomuraea gerenzanensis	ATCC 39727	32,5	93944	
Occallatibacter riparius	277	31,5	1002689	
Oleiharenicola alkalitolerans	 NVT	31	2100748	
Ravibacter arvi	J77-1	31	2051041	
Parvibium lacunae	KMB9	31	1888893	
Flavobacterium luticocti	xz20	31	1852971	
Amycolatopsis stemonae	ST1-08 	31	1577442	
Actinokineospora guangxiensis	GL-6	31	1490288	
Glycocaulis albus	SLG210-30A1	31	1382801	
Amorphus suaedae	YC6899	31	1327753	
Micromonospora sediminicola	SH2-13	31	946078	
Alkalibacterium kapii	S8.1.2	31	426704	
Rubidimonas crustatorum	AK17-053	31	930973	
Tenacibaculum skagerrakense	D30	31	186571	
Bacillus decolorationis	LMG 19507	31	-1	
Rhodococcus artemisiae	YIM 65754	28,5	714159	
Hypericibacter adhaerens	R5959	34,5	2602016	GCA_008728835.1
Turicimonas muris	YL45 	34	1796652	
Pseudomonas juntendi	BML3	32	2666183	
Streptomyces humi	MUSC 119	32	1428620	
Sinomonas humi	MUSC 117	32	1338436	
Methanohalophilus halophilus	Z-7982	31	2177	GCA_001889405.1
Tangfeifania diversioriginum	G22	34	1168035	
Leeia oryzae	HW7	33,5	356662	
Halomonas kribbensis	BH843	33,5	356659	
Paenibacillus harenae	B519	33,5	306543	
Vitellibacter todarodis	MYP2-2	32,5	-1	
Pseudonocardia profundimaris	GY0556	32,5	1804989	
Nocardioides rotundus	GY0594	32,5	1774216	
Pseudodesulfovibrio indicus	J2	32,5	1716143	GCA_001563225.1
Marivivens donghaensis	AM-4	32,5	1699413	
Apibacter adventoris	wkB301	32,5	1679466	
Georgenia subflava	Y32	32,5	1622177	
Paenibacillus bovis	BD3526	32,5	1616788	GCA_001421015.2
Halodesulfovibrio spirochaetisodalis	JC271	32,5	1560234	
Jonesia luteola	YIM 93067	32,5	1553906	
Draconibacterium sediminis	JN14CK-3 	32,5	1544798	
Aneurinibacillus soli	CB4	32,5	1500254	GCA_002355375.1
Caenispirillum deserti	JC232	32,5	1493863	
Spirochaeta lutea	JC230	32,5	1480694	
Belliella kenyensis	No.164	32,5	1472724	
Streptomyces alkaliphilus	No. 7	32,5	1472722	
Pontibacter amylolyticus	92	32,5	1424080	
Pelistega indica	HM-7	32,5	1414851	
Rheinheimera tuosuensis	TS-T4	32,5	-1	
Idiomarina planktonica	TS-T11	32,5	-1	
Bacillus solimangrovi	GH2-4	32,5	1305675	
Roseivivax pacificus	22DY03	32,5	-1	
Brevirhabdus pacifica	22DY15	32,5	1267768	
Blastocatella fastidiosa	A2-16	32,5	1235480	
Cribrihabitans marinus	CZ-AM5	32,5	1227549	
Sphingobacterium caeni	DC-8	32,5	1204554	
Photobacterium aquae	AE6	32,5	1195763	
Vallitalea guaymasensis	Ra1766G1	32,5	1185412	
Xanthomarina gelatinilytica	AK20	32,5	1137281	
Cucumibacter marinus	CL-GR60	32,5	1121252	
Pseudomonas zeshuii	BY-1	32,5	1076620	
Bacillus pakistanensis	NCCP-168	32,5	992288	
Nitratireductor aquimarinus	CL-SC21 	32,5	889300	
Fulvivirga imtechensis	AK7	32,5	1237149	
Zobellella aerophila	JC2671	32,5	870480	
Armatimonas rosea	YO-36	32,5	685828	
Rhodopseudomonas telluris	TUT3615	32,5	644215	
Agaricicola taiwanensis	CC-SBABM117	32,5	591372	
Jeotgalicoccus halophilus	C1-52	32,5	-1	
Bacillus hemicentroti	SW-72	32,5	-1	
Dongia mobilis	LM22	32,5	578943	
Salinisphaera hydrothermalis	EPR70	32,5	1304273	
Rhodovastum atsumiense	G2-11	32,5	504468	
Halomonas johnsoniae	T68687	32,5	502832	
Halomonas hamiltonii	W1025	32,5	502829	
Halomonas stevensii	S18214	32,5	1177117	
Marinobacter lacisalsi	FP2.5	32,5	475979	
Bacteroides graminisolvens	XDT-1	32,5	477666	
Spongiibacter tropicus	CL-CB221	32,5	454602	
Maritalea myrionectae	CL-SK30	32,5	454601	GCA_003433515.1
Simiduia agarivorans	SA1	32,5	447471	GCA_000305785.2
Kushneria avicenniae	MW2a	32,5	402385	
Pseudenhygromyxa salsuginis	SYR-2	32,5	442868	
Tenacibaculum aiptasiae	a4	32,5	426481	
Anaerobacillus alkalilacustris	Z-0521	32,5	393763	
Deinococcus roseus	TDMA-uv51	32,5	392414	
Maribius pelagius	B5-6	32,5	387096	
Bowmanella denitrificans	BD1	32,5	366582	
Chitinilyticum aquatile	c14	32,5	362520	
Runella defluvii	EMB13	32,5	370973	
Citreimonas salinaria	CL-SP20	32,5	321339	
Paenibacillus xinjiangensis	B538	32,5	306544	
Idiomarina seosinensis	 CL-SP19	32,5	281739	
Dechloromonas denitrificans	MH21	32,5	281362	
Nesterenkonia aethiopica	DSM 17733	32,5	269144	
Bacillus hwajinpoensis	SW-72	32,5	-1	
Rhizomicrobium palustre	A48	32,5	189966	
Paenibacillus anaericanus	MH21	32,5	170367	
Halodesulfovibrio aestuarii	Sylt3	32,5	126333	
Methylobacter whittenburyi	Y	32,5	39770	
Paracoccus versutus	A2	32,5	34007	
Ureaplasma urealyticum	T960	32,5	2130	GCA_000021265.1
Persicobacter diffluens	B-1 Lewin	32,5	981	
Lactobacillus plajomi	NB53	32,5	-1	
Methylobacillus methanolivorans	Z	32	1848927	
Flavobacterium silvisoli	RD-2-33	31,5	2529433	
Nocardioides pelophilus	THG-T63	31,5	2172019	
Dactylosporangium solaniradicis	NEAU-FJL2	31,5	1758122	
Pseudonocardia thailandensis	CMU-NKS-70	31,5	1701089	
Bounagaea algeriensis	H8	31,5	1476748	
Vibrio variabilis	R-40492	31,5	990271	
Brachybacterium phenoliresistens	phenol-A	31,5	396014	
Staphylococcus saprophyticus	S-41	31,5	29385	GCA_000010125.1
Chitinophaga humicola	Ktm-2	30	2072567	
Tessaracoccus terricola	Brt-A	30	2069302	
Microvirga soli	R491	30	1854496	
Niabella hibiscisoli	THG-DN5.5	30	1825928	
Geodermatophilus bullaregiensis	BMG841 	30	1564160	
Niabella pedocola	R384	30	1752077	
Geodermatophilus dictyosporus	G-5	30	1523247	
Gaetbulibacter aestuarii	�KYW382	30	1502358	
Gynuella sunshinyii	YC6258	30	1445510	GCA_000940805.1
Geodermatophilus amargosae	G12	30	1296565	
Derxia lacustris	HL-12	30	764842	
Phenylobacterium muchangponense	A8	30	760012	
Delftia litopenaei	wsw-7	30	747302	
Flavobacterium croceum	EMB47	30	370975	
Flavobacterium filum	EMB34	30	370974	
Oceanobacillus picturae	DSM 14867	30	171693	
Virgibacillus necropolis	LMG 19488	30	163877	GCA_002224365.1
Staphylococcus xylosus	KL162	30	1288	GCA_000709415.1
Geodermatophilus telluris	CF9/1/1	27,5	1190417	
Serratia vespertilionis	52	27,5	-1	
Stenotrophobacter terrae	Ac_28_D10	31,55	1458337	
Amphritea atlantica	M41	32,5	355243	
Sphaerochaeta associata	GLS2	32	1129264	
Haliangium ochraceum	SMP-2	32	80816	GCA_000024805.1
Tissierella creatinophila	KRE 4	32	79681	
Pelobacter acetylenicus	WoAcy 1	31	-1	GCA_001888165.1
Amycolatopsis samaneae	RM287	29,5	664691	
Methanoregula formicica	SMSP	31,5	593750	GCA_000327485.1
Flavobacterium suaedae	G16-7	31,5	1767027	
Pontibacter locisalis	Sy30	31,5	1719035	
Ponticoccus marisrubri	SJ5A-1	31,5	1685382	
Fermentibacillus polygoni	IEB3	31,5	1652104	
Bacillus depressus	BZ1	31,5	-1	
Kushneria pakistanensis	NCCP-934	31,5	1508770	
Belliella buryatensis	5C	31,5	1500549	
Salipiger bermudensis	HTCC2601	31,5	314265	
Fangia hongkongensis	UST040201-002	31,5	270495	
Acetonema longum	APO-1	31,5	2374	
Agarilytica rhodophyticola	17	30,5	1737490	GCA_002157225.2
Ktedonobacter racemifer	 SOSP1-21	30,5	363277	
Lysobacter antibioticus	UASM 3C	29	84531	GCA_001442535.1
Oceanisphaera psychrotolerans	LAM-WHM-ZC	26,5	1414654	
Acidovorax carolinensis	NA3	31,25	553814	GCA_002157145.1
Acidicapsa ferrireducens	MCF9	31	1335629	
Acidicapsa acidiphila	MCF10	31	1335627	
Roseomonas vinacea	CPCC 100056	31	424704	
Lentibacillus lacisalsi	BH260	31	284575	
Curvibacter delicatus	IAM 14955	31	80879	
Methylarcula terricola	h37	30,5	72023	
Hydrocarboniclastica marina	Soil36-7	30	2259620	GCA_004851605.1
Leeuwenhoekiella nanhaiensis	G18	30	1655491	
Streptomyces polygonati	NEAU-G9	30	1617087	
Luteimonas notoginsengisoli	SYP-B804	30	1578200	
Gordonia jinhuaensis	ZYR 51	30	1517702	
Streptomyces malaysiense	MUSC 136	30	1428626	
Paenibacillus eucommiae	CPCC 100226	30	1355755	
Echinimonas agarilytica	KMM 6351	30	1215918	
Lysinibacillus tabacifolii	K3514	30	1173107	
Draconibacterium orientale	MK-7	30	1168034	GCA_000626635.1
Tepidibacter mesophilus	B1	30	655607	
Agromyces flavus	CPCC 202695	30	589382	
Thioalbus denitrificans	Su4	30	547122	
Kitasatospora kazusensis	SK60	30	407974	
Kitasatospora arboriphila	HKI 0189	30	258052	
Kitasatospora terrestris	HKI 0186	30	258051	
Marivirga tractuosa	H-43	30	1006	GCA_000183425.1
Microvirgula curvata	L6	29,5	1817962	
Geodermatophilus ruber	CPCC 201356	26	504800	
Archangium gephyra	M18	25	48	GCA_001027285.1
Vicinamibacter silvestris	Ac_5_C6	28,3	1612172	
Nibribacter flagellatus	THG-T16	29	2664424	
Ilyomonas limi	17mud1-8	29	2575867	
Actinotalea solisilvae	 KCTC 29134	29	2072922	
Paenibacillus solanacearum	T16R-228	29	2048548	
Agaribacterium haliotis	feces2	29	2013869	
Defluviimonas nitratireducens	DL5-4	29	1928646	
Lysobacter solanacearum	T20R-70	29	1929097	
Paraliobacillus sediminis	126C4	29	1885916	
Pseudoflavitalea rhizosphaerae	T16R-265	29	1884793	
Terrimonas terrae	T16R-129	29	1864941	
