Species	Strain	NCTC_number	Type_Strain	Cond_solid	Cond_liquid
Bacillus megaterium	Ford 19	NCTC 10342	Yes	Nutrient agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Paenibacillus polymyxa	Kluyver	NCTC 10343	Yes	Nutrient agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Staphylococcus aureus	CN 56 Wood 46 pl. +, 15/5-63	NCTC 10344	No	Nutrient agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Staphylococcus aureus	CN 56 Wood 46 pl. -, 15/5-63	NCTC 10345	No	Nutrient agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. salamae serotype Luton	JT 1094	NCTC 10346	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. enterica serotype Dugbe	JT 483	NCTC 10347	No	nutrient agar,37, light, facultative anaerobe	nutrient broth,37, light, facultative anaerobe
Campylobacter fetus subsp. fetus	192/3	NCTC 10348	No	blood agar,37, microaerophilic	meat broth,37, microaerophilic
Corynebacterium diphtheriae	Gayle	NCTC 10349	No	blood agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Staphylococcus hyicus subsp. hyicus	Strain 1	NCTC 10350	Yes	Nutrient agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Escherichia coli	DRL 302/53	NCTC 10351	No	nutrient agar, facultative anaerobe	nutrient broth, facultative anaerobe
Shigella sonnei	88	NCTC 10352	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Streptococcus thermophilus	BC	NCTC 10353	No	Columbia blood agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Campylobacter fetus subsp. venerealis	X/161/5	NCTC 10354	Yes	blood agar,37, microaerophilic	nutrient broth,37, microaerophilic
Campylobacter sputorum subsp. bubulus	G14	NCTC 10355	No	blood agar,37, microaerophilic	nutrient broth,37, microaerophilic
Corynebacterium diphtheriae biovar belfanti	AVM 45143	NCTC 10356	No	blood agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Listeria monocytogenes	53 xxiii	NCTC 10357	Yes	Columbia blood agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
moraxella liquefaciens	L 1	NCTC 10358	No	blood agar,37, aerobic	nutrient broth,37, aerobic
moraxella liquefaciens	E 1	NCTC 10359	No	blood agar,37, aerobic	nutrient broth,37, aerobic
Plesiomonas shigelloides	Bader M 51	NCTC 10360	Yes	Nutrient agar, 24 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Escherichia coli	DRL 145/46	NCTC 10361	No	Nutrient agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Aeromonas caviae	BPE 18	NCTC 10362	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Plesiomonas shigelloides	C 27	NCTC 10363	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Plesiomonas shigelloides	BPE 247	NCTC 10364	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Mannheimia haemolytica	B 183	NCTC 10365	No	blood agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Mannheimia haemolytica	B 202	NCTC 10366	No	blood agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Pseudomonas alcaligenes	RH 1577	NCTC 10367	Yes	Nutrient agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, aerobic
Mannheimia haemolytica	34	NCTC 10368	No	blood agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Pasteurella trehalosi	S 7157H	NCTC 10369	No	blood agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Bibersteinia trehalosi	S 110	NCTC 10370	Yes	blood agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Mannheimia haemolytica	S 105	NCTC 10371	No	blood agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Actinobaculum suis	P 63	NCTC 10372	No	blood agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Corynebacterium suis	Betts (BT)	NCTC 10373	No	blood agar,37, microaerophilic	meat broth,37, microaerophilic
Proteus mirabilis	Pml 1	NCTC 10374	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Morganella morganii	Pmol 2	NCTC 10375	No	blood agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Proteus vulgaris	Pvl 1	NCTC 10376	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Providencia rettgeri	10377 Prl 6	NCTC 10377	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Providencia stuartii	Pil 5	NCTC 10378	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Clostridium perfringens	21845	NCTC 10379	No	Blood agar,37C, strict anaerobe	Meat broth,37C, strict anaerobe
Salmonella enterica subsp. salamae serotype Tulear	JT 1106 (SS 69/62)	NCTC 10380	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. diarizonae serotype Eilbek	SS 91/63 (JT 1157)	NCTC 10381	No	Nutrient agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Pasteurella multocida	3664	NCTC 10382	No	Columbia blood agar, 24 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Erysipelothrix rhusiopathiae	BB/822 (KT)	NCTC 10383	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. enterica serotype Senftenberg	Q 252	NCTC 10384	No	Nutrient agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Brucella suis	B 2853/63	NCTC 10385	No	Blood agar, 37, aerobic	Nutrient broth,37, aerobic
Streptococcus equinus	TR 5	NCTC 10386	No	Columbia blood agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Propionibacterium granulosum	ATCC 11829	NCTC 10387	No	blood agar,37, microaerophilic	nutrient broth,37, microaerophilic
Alcaligenes odorans	Jean Burchill 1	NCTC 10388	No	nutrient agar,37, aerobic	nutrient broth,37, aerobic
Streptococcus equinus	CN 1	NCTC 10389	No	Columbia blood agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Cutibacterium acnes	643-C	NCTC 10390	No	Columbia blood agar, 37C, AnO2, 24 – 48 hours	
Rhodococcus corynebacteriodies	ATCC 14898	NCTC 10391	Yes	Nutrient agar, 48-72 hours, 37°C, aerobic	
Pseudomonas fluorescens	BA 88	NCTC 10392	No	Nutrient agar, 24 hours, 30°C, aerobic	nutrient broth,30, aerobic
Corynebacterium diphtheriae	G/12/6	NCTC 10393	No	bllod agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Mycobacterium fortuitum	J. C. Cruz 1	NCTC 10394	Yes	Columbia blood agar, 48 hours, 30°C, aerobic	todd-hewitt broth,37, aerobic
Mycobacterium fortuitum	J. C. Cruz 2	NCTC 10395	No	glucose agar,30, aerobic	todd-hewitt broth,30, aerobic
Edwardsiella tarda	CDC 1483-59	NCTC 10396	Yes	Nutrient agar, 24 hours, 37°C, aerobic	nutrient broth,37, aerobic
Edwardsiella tarda	CDC 1958-64	NCTC 10397	No	nutrient agar,37, aerobic	nutrient broth,37, aerobic
Edwardsiella tarda	King (Bartholomew)	NCTC 10398	No	nutrient agar,37, aerobic	nutrient broth,37, aerobic
Staphylococcus aureus	Smith	NCTC 10399	No	Nutrient agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Bacillus subtilis subsp spizizenii	PCI 219	NCTC 10400	No	Nutrient agar, 24 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. houtenae serotype Houten	SS 105/61 (JT 887)	NCTC 10401	No	Nutrient agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Aeromonas salmonicida	BPE 141	NCTC 10402	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Aeromonas salmonicida	Isabel Smith 1046	NCTC 10403	No	blood agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Aeromonas salmonicida	DRL 265/64	NCTC 10408	No	Columbia Blood agar, 22C, O2, 48-72 hours	
Mycobacterium thermoresistibile	316	NCTC 10409	Yes	Columbia blood agar, 2-5 days, 37°C, aerobic	nutrient broth,37, aerobic
Mycobacterium parafortuitum	310	NCTC 10410	No	glycerol agar,37, aerobic	nutrient broth,37, aerobic
Mycobacterium parafortuitum	311	NCTC 10411	Yes	glucose agar,37, aerobic	glucose agar, nutrient agar, (ammonium salt sugars),37, aerobic oxr:ae
Salmonella enterica subsp. enterica serotype Paratyphi B	10412 SA/11 Duguid 4, 5, 12:b:1, 2	NCTC 10412	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. enterica serotype Typhimurium	A 10	NCTC 10413	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. enterica serotype Newport	5718 USA	NCTC 10414	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. houtenae serotype Seminole	CDC 2010-64	NCTC 10415	No	Nutrient agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Alcaligenes odorans	IEM 14/45	NCTC 10416	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Escherichia coli	MacLeod	NCTC 10418	No	Nutrient agar, 24 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Paenibacillus macquariensis	673	NCTC 10419	Yes	Nutrient agar, 24-48 hours, 22°C, aerobic	nutrient broth,37, aerobic
Paenibacillus macquariensis	67	NCTC 10420	No	soil extract agar,37, aerobic	nutrient broth,37, aerobic
Paenibacillus macquariensis	683	NCTC 10421	No	soil extract agar,37, aerobic	nutrient broth,37, aerobic
Mycobacterium nonchromogenicum	317	NCTC 10424	Yes	Lowenstein-Jensen slopes, 24-48 hours, 37°C, aerobic	nutrient broth,37, aerobic
Mycobacterium intracellulare	N 100616	NCTC 10425	No	7h10,37, aerobic	dubos broth,37, aerobic
Cardiobacterium hominis	6573	NCTC 10426	Yes	Columbia blood agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, carbon dioxide required
Cardiobacterium hominis	6574	NCTC 10427	No	blood agar,37, aerobic	nutrient broth,37, aerobic
Mycobacterium tomidae	Tomida	NCTC 10428	No	7h10,37, aerobic	nutrient broth,37, aerobic
Escherichia coli	E 47a	NCTC 10429	No	Nutrient agar, 24-48 hours, 37°C, aerobic	nutrien tbroth,37, facultative anaerobe
Escherichia coli	H 54	NCTC 10430	No	Nutrient agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. enterica serotype Paratyphi A	Col Sal 3096/58	NCTC 10431	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. enterica serotype Champaign	CDC 364/61	NCTC 10433	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. enterica serotype Mikawasima	10435 CDC 2219-59 (JT 944) 6, 7:e, n, z15:z50	NCTC 10435	No	Nutrient agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. salamae serotype Clovelly	Col Sal 2268/64 (JT 1283)	NCTC 10436	No	Nutrient agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Mycobacterium aurum	358	NCTC 10437	Yes	Columbia blood agar, 24-48 hours, 30°C, aerobic	nutrient broth,30, aerobic
Mycobacterium aurum	312	NCTC 10438	No	glucose agar,37, aerobic	nutrient broth,37, aerobic
Mycobacterium aurum	313	NCTC 10439	No	glucose agar,37, aerobic	nutrient broth,37, aerobic
Mycobacterium aurum	309	NCTC 10440	No	glucose agar,30, aerobic	nutrient broth,30, aerobic
Vibrio parahaemolyticus	3053-63	NCTC 10441	No	blood agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Staphylococcus aureus	SRL 60/13137	NCTC 10442	No	Nutrient agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Staphylococcus aureus	SRL 64/9204	NCTC 10443	No	Nutrient agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Escherichia coli	w 27	NCTC 10444	No	Nutrient agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Mycobacterium ulcerans	Clancey	NCTC 10445	No	dorset egg,30, aerobic	nutrent broth,30, aerobic
Streptococcus suis	T 639	NCTC 10446	No	Columbia blood agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Micrococcus luteus	82	NCTC 10447	No	nutrient agar,30, facultative anaerobe	nutrient broth,30, facultative anaerobe
Arthrobacter agilis	34	NCTC 10448	No	nutrient agar,30, facultative anaerobe	nutrient broth,30, facultative anaerobe
Streptococcus mutans	Sims	NCTC 10449	Yes	Columbia blood agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Pseudomonas stutzeri	A 44/65	NCTC 10450	No	Nutrient agar, 24 hours, 30°C, aerobic	nutrient broth,37, aerobic
Bacillus licheniformis	Kelsey	NCTC 10452	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Cytophaga	ISO	NCTC 10453	No	nutrient agar,22, aerobic	nutrient broth,22, aerobic
Staphylococcus aureus bacteriophage	84; 77Ad	NCTC 10454	No	Nutrient agar, 37C, O2, 24 hours, with appropriate propagating strain	
Staphylococcus aureus	PS84	NCTC 10455	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Staphylococcus aureus bacteriophage	85; B5	NCTC 10456	No	Nutrient agar, 37C, O2, 24 hours, with appropriate propagating strain	
Staphylococcus aureus	PS85	NCTC 10457	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. indica serotype Ferlac	JT 786	NCTC 10458	No	Nutrient agar, 24-48 hours, 37°C, aerobic	nutrientbroth,37, facultative anaerobe
Gemella haemolysans	NH	NCTC 10459	No	blood agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Yersinia enterocolitica	P 71	NCTC 10460	No	Columbia blood agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Yersinia enterocolitica	P 76	NCTC 10461	No	blood agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Yersinia enterocolitica	P 72	NCTC 10462	No	blood agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Yersinia enterocolitica	P 77	NCTC 10463	No	blood agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Moraxella nonliquefaciens	4663/62	NCTC 10464	Yes	blood agar,37, aerobic	nutrient broth,37, aerobic
Moraxella osloensis	A 1920	NCTC 10465	Yes	Columbia blood agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, aerobic
Mycobacterium ulcerans	Darwin	NCTC 10467	No	dorset egg,37, light,	nutrient broth,37, light,
Mycobacterium ulcerans	McKenzie	NCTC 10468	No	lowenstein-jensen,37, aerobic	nutrient broth,37, aerobic
Butyribacterium limosum	32 GpAS	NCTC 10469	No	blood agar,37, strict anaerobe	nutrient broth,37, strict anaerobe
Propionibacterium freudenreichii	Hitchner 33	NCTC 10470	Yes	Columbia blood agar, 24-48 hours, 37°C, anaerobic	nutrient broth3,37, facultative anaerobe
Bifidobacterium breve	Hayward HA	NCTC 10471	No	columbia serum agar,37, strict anaerobe	nutrient broth,37, strict anaerobe
Bifidobacterium bifidum	Hayward BTR	NCTC 10472	No	glucose agar,37, strict anaerobe	glucose broth,37, strict anaerobe
Pseudomonas stutzeri	E. III. 9. 22. 1	NCTC 10473	No	nutrient agar,37, aerobic	nutrient broth,37, aerobic
Ramibacterium pseudoramosum	ATCC 13937	NCTC 10474	No		
Pseudomonas stutzeri	MD 41. 1	NCTC 10475	No	nutrient agar,37, aerobic	nutrient broth,37, aerobic
Yersinia ruckeri	RM-3	NCTC 10476	No	nutrient agar,30, facultative anaerobe	nutrient broth,30, facultative anaerobe
Yersinia ruckeri	RM-12	NCTC 10477	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Yersinia ruckeri	RM-1	NCTC 10478	No	nutrient agar,30, facultative anaerobe	nutrient agar,30, facultative anaerobe
Haemophilus influenzae	Biotype IV	NCTC 10479	No	chocolate blood agar,37, facultative anaerobe	nutrient broth + fe,37, facultative anaerobe
Salmonella enterica subsp. enterica serotype Moscow	27 (K 67)	NCTC 10480	No	Nutrient agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Corynebacterium diphtheriae	CN 2000	NCTC 10481	No	blood agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Shinella zoogloeoides	I-16-M	NCTC 10482	Yes	Columbia blood agar, 48 hours, 30°C, aerobic	nutrient agar,30, aerobic
Kluyvera cryocrescens	4	NCTC 10483	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Kluyvera cryocrescens	84 c	NCTC 10484	No	nutrient agar,37, aerobic	nutrient broth,37, aerobic
Mycobacterium chitae	2502	NCTC 10485	Yes	Columbia blood agar, 48-72 hours, 37°C, aerobic	glucose broth,37, aerobic
mycobacterium novum	1945	NCTC 10486	No	dorsets egg medium,30, facultative anaerobe	dorsets egg, (ammonium salt sugars),30, facultative anaerobe oxr:fan
Escherichia coli	K 235	NCTC 10487	No	Nutrient agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Nocardiopsis dassonvillei	IMRU 509	NCTC 10488	Yes	glucose agar,37, aerobic	nutrient broth,37, aerobic
Nocardiopsis dassonvillei	Babcock IMRU 1250	NCTC 10489	No	glucose agar,37, aerobic	glucose broth,37, aerobic
Salmonella enterica subsp. arizonae	CDC 1189-56	NCTC 10491	No		
Salmonella enterica subsp. arizonae	CDC 740-60	NCTC 10492	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. arizonae	CDC 3064-61	NCTC 10493	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. arizonae	CDC 1195-62	NCTC 10494	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Mycobacterium chitae	2503	NCTC 10495	No	glucose agar,30, aerobic	nutrient broth,30, aerobic
Mycobacterium novum	1950	NCTC 10496	No	lowenstein-jensen medium,30, aerobic	glucose broth,30, aerobic
Mycobacterium nonchromogenicum	1731	NCTC 10497	No	lowenstein-jensen medium,30, aerobic	dubos medium,30, aerobic
Stenotrophomonas maltophilia	RH 661-1	NCTC 10498	No	Nutrient agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, aerobic
Stenotrophomonas maltophilia	RH 873-3	NCTC 10499	No	Nutrient agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, aerobic
Pantoea agglomerans	F5	NCTC 10500	No	Nutrient agar, 24 hours, 37°C, aerobic	
Brucella abortus	86/8/59	NCTC 10501	No	Blood agar, 37, aerobic, carbon dioxide required	Nutrient broth,37, aerobic, carbon dioxide required
Brucella abortus	Tulya	NCTC 10502	No	Blood agar, 37, aerobic, carbon dioxide required	Nutrient broth, 37, carbon dioxide required
Brucella abortus	292	NCTC 10503	No	Blood agar,37, carbon dioxide required	Nutrient broth,37, carbon dioxide required
Brucella abortus	B 3196	NCTC 10504	No	Blood agar, 37, aerobic, carbon dioxide required	Nutrient broth,37, aerobic
Brucella abortus	870	NCTC 10505	No	Blood agar, 37, aerobic, carbon dioxide required	Nutrient broth,37, aerobic
Brucella abortus	63175	NCTC 10506	No	Blood agar, 37, aerobic, carbon dioxide required	Nutrient broth, 37, aerobic
Brucella abortus	C 68	NCTC 10507	No	Blood agar, 37, aerobic, carbon dioxide required	Nutrient broth,37, aerobic
Brucella melitensis	Ether	NCTC 10509	No	Columbia Blood agar, 37C, O2, 72 hours	
Brucella suis	686	NCTC 10511	No	Blood agar,37, aerobic	Nutrient broth,37, aerobic
Brucella ovis	63/290	NCTC 10512	Yes	Blood agar,37, carbon dioxide required	Nutrient broth,37, carbon dioxide required
Arcanobacterium haemolyticum	K 29	NCTC 10513	No	blood agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Arcanobacterium haemolyticum	K 501	NCTC 10514	No	blood agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Staphylococcus cohnii	1557	NCTC 10515	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Staphylococcus saprophyticus subsp. saprophyticus	1588	NCTC 10516	No	Nutrient agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Staphylococcus nepalensis	1463	NCTC 10517	No	Nutrient agar, 24-48 hours, 37°C, aerobic	
Staphylococcus warneri	1466	NCTC 10518	No	Nutrient agar, 24-48 hours, 37°C, aerobic	nnutrient broth,37, facultative anaerobe
Staphylococcus epidermidis	1477	NCTC 10519	No	Nutrient agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Bordetella parapertussis	PA-3	NCTC 10520	No	Columbia blood agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, aerobic
Bordetella parapertussis	PA-8	NCTC 10521	No	blood agar,37, aerobic	nutrient broth,37, aerobic
Bordetella parapertussis	PA-9	NCTC 10522	No	Columbia blood agar, 48 hours, 37°C, aerobic	nutrient broth,37, aerobic
Bordetella parapertussis	PA-15	NCTC 10523	No	nutrient agar,37, aerobic	nutrient broth,37, aerobic
Bordetella parapertussis	PA-22	NCTC 10524	No	Columbia blood agar, 48 hours, 37°C, aerobic	nutrient broth,37, aerobic
Bordetella parapertussis	H-74	NCTC 10525	No	nutrient agar,37, aerobic	nutrient broth,37, aerobic
Psychrobacter phenylpyruvicus	2863	NCTC 10526	Yes	Columbia blood agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Listeria monocytogenes	1071/53	NCTC 10527	No	blood agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Listeria innocua	L92/67	NCTC 10528	No	blood agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Kingella kingae	4177/66	NCTC 10529	Yes	Columbia blood agar, 48 hours, 37°C, requires carbon dioxide	nutrient broth,37, facultative anaerobe
Staphylococcus chromogenes	1462	NCTC 10530	Yes	Nutrient agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. enterica serotype Gallinarum	10532 416 (K 74, JT 74) 1, 9, 12:-:-	NCTC 10532	No		
Salmonella enterica subsp. enterica serotype Tuebingen	ISC 618	NCTC 10533	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Pasteurella bettyae	CDC 41-9471	NCTC 10534	No	blood agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Pasteurella bettyae	CDC 41-5568	NCTC 10535	Yes	Columbia blood agar, 48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Pasteurella bettyae	CDC 41-7170	NCTC 10536	No	blood agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Escherichia coli	B	NCTC 10537	No	Nutrient agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Escherichia coli	K 12	NCTC 10538	No	Nutrient agar, 24 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Bordetella bronchiseptica	BR 2	NCTC 10539	No	nutrient agar,37, aerobic	nutrient broth,37, aerobic
Bordetella bronchiseptica	BR 88 Eldering 22067	NCTC 10540	No	nutrient agar,37, aerobic	nutrient broth,37, aerobic
Bordetella bronchiseptica	BR 58	NCTC 10541	No	nutrient agar,37, aerobic	nutrient broth,37, aerobic
Bordetella bronchiseptica	BR 106	NCTC 10542	No	nutrient agar,37, aerobic	nutrient broth,37, aerobic
Bordetella bronchiseptica	BR 62	NCTC 10543	No	Columbia blood agar, 48 hours, 37°C, aerobic	nutrient broth,37, aerobic
Salmonella enterica subsp. enterica serotype Sandiego	10544 K 111 4, 12:e, h:e, n, z15	NCTC 10544	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. salamae serotype Neasden	JT 1037	NCTC 10545	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. enterica serotype Altendorf	10546 297 (JT 177) 4, 12:c:1, 7	NCTC 10546	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Pasteurella lymphangitidis	Jayaraman II	NCTC 10548	No	blood agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Pasteurella lymphangitidis	Jayaraman III	NCTC 10549	No	blood agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Pasteurella lymphangitidis	Jayaraman IV	NCTC 10550	No	blood agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Yersinia pseudotuberculosis	Jayaraman V	NCTC 10551	No	blood agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Pasteurella lymphangitidis	Jayaraman VI	NCTC 10552	No	blood agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Pasteurella lymphangitidis	Jayaraman VII	NCTC 10553	No	blood agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Pasteurella lymphangitidis	Jayaraman VIII	NCTC 10554	No	blood agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Haemophilus sp.	S 3105	NCTC 10555	No	chocolate blood agar(co2),37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Aggregatibacter aphrophilus	Reece	NCTC 10556	No	Chocolate blood agar,37°C (CO2), facultative anaerobe	Nutrient broth + fe,37°C, facultative anaerobe
Aggregatibacter aphrophilus	Funagli	NCTC 10557	No	Columbia blood agar, 24-48 hours, 37°C, aerobic	
Aggregatibacter aphrophilus	Haywood	NCTC 10558	No	Chocolate blood agar,37°C, CO2, facultative anaerobe	Nutrient broth + f e,37, facultative anaerobe
noguchia granulosis	ATCC 11479	NCTC 10559	No	blood agar,30, facultative anaerobe	nutrient broth,30, facultative anaerobe
Fusobacterium varium	ATCC 8501	NCTC 10560	Yes	viande-leure agar,37, strict anaerobe	viande-leure broth,37, strict anaerobe
Pseudomonas aeruginosa	Col 18	NCTC 10561	No	nutrient agar,37, aerobic	nutrient broth,37, aerobic
Fusobacterium nucleatum subsp. polymorphum	555A	NCTC 10562	Yes	Fastidious anaerobe agar, 24-48 hours, 37°C, anaerobic	viande-leure broth,37, strict anaerobe
Actinobacillus lignieresii	A 2 Type 1	NCTC 10563	No	blood agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Actinobacillus lignieresii	A 56 Type 1a	NCTC 10564	No	blood agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Actinobacillus lignieresii	A 3 Type 2	NCTC 10565	No	blood agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Actinobacillus lignieresii	A 6 Type 3	NCTC 10566	No	blood agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Actinobacillus lignieresii	A 7 Type 4	NCTC 10567	No	blood agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Actinobacillus lignieresii	A 13 Type 5	NCTC 10568	No	Columbia blood agar, 48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Actinobacillus lignieresii	A 180 Type 6	NCTC 10569	No	blood agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
